# color,  Teff for all metallicities
5.86 2922.92  2947.64  2970.29  3010.94  3062.02  3115.37  3133.05  3189.65  3212.39  3224.69
5.08 3059.93  3109.14  3146.72  3199.60  3233.35  3264.64  3274.26  3302.84  3318.70  3329.60
4.38 3215.12  3251.76  3276.95  3308.95  3338.65  3370.18  3380.12  3407.59  3421.62  3430.81
4.06 3270.67  3305.10  3328.79  3362.58  3398.51  3427.67  3435.92  3458.71  3470.35  3477.97
3.74 3326.21  3364.06  3397.36  3433.42  3461.98  3485.15  3491.71  3513.66  3525.27  3532.28
