# Bessell et al 1991, Table 7a (for M=1Msun - differences are slight for M>1Msun)
# T    +0.5z  +0.0z  -0.3z  -0.6z -1.0z
# (H-K) colors as a function of AGB Teff and log10(Z/Zsun)
3800  0.00  0.14  0.14  0.13  0.13
3650  0.00  0.17  0.16  0.16  0.15
3500  0.21  0.20  0.20  0.19  0.18
3350  0.25  0.24  0.23  0.22  0.21
3200  0.29  0.27  0.26  0.25  0.25
3000  0.34  0.32  0.31  0.31  0.00
2800  0.40  0.38  0.36  0.40  0.00
2500  0.49  0.49  0.54  0.00  0.00
