#  log(age)     mini          mact           logl     logt  phase
    6.6000    0.1500000060    0.1500000000   -2.3036    3.5907   0.0
    6.6000    0.2000000030    0.2000000000   -2.0080    3.6158   0.0
    6.6000    0.2500000000    0.2500000000   -1.7958    3.6285   0.0
    6.6000    0.3000000119    0.3000000000   -1.6574    3.6372   0.0
    6.6000    0.3499999940    0.3500000000   -1.5359    3.6446   0.0
    6.6000    0.4000000060    0.4000000000   -1.4187    3.6513   0.0
    6.6000    0.4499999881    0.4500000000   -1.2816    3.6596   0.0
    6.6000    0.5000000000    0.5000000000   -1.1516    3.6693   0.0
    6.6000    0.5500000119    0.5500000000   -1.0015    3.6842   0.0
    6.6000    0.6000000238    0.6000000000   -0.8414    3.7060   0.0
    6.6000    0.6999999881    0.7000000000   -0.5411    3.7459   0.0
    6.6000    0.8000000119    0.8000000000   -0.2659    3.7824   0.0
    6.6000    0.8999999762    0.9000000000   -0.0215    3.8135   0.0
    6.6000    1.0000000000    1.0000000000    0.1942    3.8435   0.0
    6.6000    1.1207518578    1.1208000000    0.4193    3.8843   0.0
    6.6000    1.2207518816    1.2207000000    0.5888    3.9216   0.0
    6.6000    1.3999999762    1.4000000000    0.8501    3.9805   0.0
    6.6000    1.5000000000    1.5000000000    0.9751    4.0088   0.0
    6.6000    1.6000000238    1.6000000000    1.0926    4.0345   0.0
    6.6000    1.7103760242    1.7104000000    1.2097    4.0608   0.0
    6.6000    1.7541503906    1.7542000000    1.2543    4.0704   0.0
    6.6000    1.7999999523    1.8000000000    1.2990    4.0797   0.0
    6.6000    1.8999999762    1.9000000000    1.3925    4.0993   0.0
    6.6000    2.0000000000    2.0000000000    1.4797    4.1174   0.0
    6.6000    2.2000000477    2.2000000000    1.6307    4.1488   0.0
    6.6000    2.5000000000    2.5000000000    1.8320    4.1868   0.0
    6.6000    3.0000000000    3.0000000000    2.1000    4.2328   0.0
    6.6000    3.5000000000    3.5000000000    2.3235    4.2680   0.0
    6.6000    4.0000000000    4.0000000000    2.5116    4.2960   0.0
    6.6000    4.5000000000    4.5000000000    2.6759    4.3201   0.0
    6.6000    5.0000000000    5.0000000000    2.8211    4.3410   0.0
    6.6000    5.4598193169    5.4598000000    2.9400    4.3578   0.0
    6.6000    6.7924814224    6.7925000000    3.2375    4.4013   0.0
    6.6000   10.9624061584   10.9624000000    3.8659    4.4877   0.0
    6.6000   12.9923839569   12.9808000000    4.0690    4.5150   0.0
    6.6000   13.3398504257   13.3257000000    4.1008    4.5193   0.0
    6.6000   16.9917793274   16.9674000000    4.4709    4.5644   0.0
    6.6000   18.9624061584   18.9316000000    4.6461    4.5839   0.0
    6.6000   19.8353195190   19.8002000000    4.7012    4.5897   0.0
    6.6000   27.7926387787   27.7013000000    5.1286    4.6244   0.0
    6.6000   32.0751876831   31.9345000000    5.3172    4.6317   0.0
    6.6000   38.9990882874   38.7342000000    5.5261    4.6241   0.0
    6.6000   44.1503753662   43.7607000000    5.6601    4.6053   0.0
    6.6000   44.6921348572   44.2890000000    5.6721    4.6033   0.0
    6.6000   51.9154319763   51.1869000000    5.8220    4.5493   0.0
    6.6000   55.2679290771   54.1935000000    5.8842    4.5064   0.0
    6.6000   57.7985687256   56.0927000000    5.9303    4.4636   0.0
    6.6000   58.1814498901   56.2840000000    5.9377    4.4567   0.0
    6.6000   58.4468193054   56.4567000000    5.9477    4.4672   0.0
    6.6000   58.5712471008   56.5368000000    5.9547    4.4768   0.0
    6.6000   58.6322631836   56.5759000000    5.9664    4.4970   0.0
    6.6000   59.2533493042   55.6608000000    5.9991    4.3682   0.0
    6.6000   59.4368743896   55.3321000000    6.0043    4.3447   0.0
    6.6000   59.5990715027   54.9686000000    6.0051    4.3423   0.0
    6.6000   59.7710800171   54.5685000000    6.0059    4.3396   0.0
    6.6000   59.9254112244   54.1968000000    6.0066    4.3369   0.0
    6.6000   60.1748046875   53.5707000000    6.0076    4.3313   0.0
    6.6000   60.4738960266   52.8427000000    6.0103    4.3651   0.0
    6.6000   60.7679290771   52.3922000000    6.0145    4.4175   0.0
    6.6000   61.0637130737   52.4913000000    6.0186    4.4108   0.0
    6.6000   61.3712005615   52.5924000000    6.0227    4.3945   0.0
    6.6000   61.6835517883   52.6871000000    6.0267    4.3717   0.0
    6.6000   61.9842262268   52.7425000000    6.0302    4.3414   0.0
    6.6000   62.2832450867   52.7444000000    6.0332    4.3046   0.0
    6.6000   62.5806159973   52.6133000000    6.0353    4.2674   0.0
    6.6000   62.8796272278   52.1067000000    6.0346    4.2083   0.0
    6.6000   63.0252799988   51.6067000000    6.0316    4.1567   0.0
    6.6000   63.2092323303   50.6257000000    5.9977    3.8812   0.0
    6.6000   63.2832794189   50.1785000000    5.9797    3.7396   0.0
    6.6000   63.2914848328   50.1422000000    5.9875    3.7377   0.0
    6.6000   63.3030052185   50.0911000000    5.9943    3.7361   0.0
    6.6000   64.1503753662   46.3037000000    6.0378    3.7388   0.0
    6.6000   64.9857864380   43.6443000000    6.0733    3.7653   0.0
#  log(age)     mini          mact           logl     logt  phase
    6.6500    0.1500000060    0.1500000000   -2.3036    3.5907   0.0
    6.6500    0.2000000030    0.2000000000   -2.0080    3.6158   0.0
    6.6500    0.2500000000    0.2500000000   -1.7958    3.6285   0.0
    6.6500    0.3000000119    0.3000000000   -1.6574    3.6372   0.0
    6.6500    0.3499999940    0.3500000000   -1.5359    3.6446   0.0
    6.6500    0.4000000060    0.4000000000   -1.4187    3.6513   0.0
    6.6500    0.4499999881    0.4500000000   -1.2816    3.6596   0.0
    6.6500    0.5000000000    0.5000000000   -1.1516    3.6693   0.0
    6.6500    0.5500000119    0.5500000000   -1.0014    3.6842   0.0
    6.6500    0.6000000238    0.6000000000   -0.8414    3.7060   0.0
    6.6500    0.6999999881    0.7000000000   -0.5411    3.7459   0.0
    6.6500    0.8000000119    0.8000000000   -0.2659    3.7824   0.0
    6.6500    0.8999999762    0.9000000000   -0.0214    3.8135   0.0
    6.6500    1.0000000000    1.0000000000    0.1943    3.8435   0.0
    6.6500    1.1207518578    1.1208000000    0.4194    3.8843   0.0
    6.6500    1.2207518816    1.2207000000    0.5889    3.9216   0.0
    6.6500    1.3999999762    1.4000000000    0.8502    3.9805   0.0
    6.6500    1.5000000000    1.5000000000    0.9751    4.0088   0.0
