# log(age)    Mini       Mact  logl  logt  logg  Composition  Phase
    5.50    4.307300   4.3073   2.5028   4.1936 -99.0000   0.0000   0.0000
    5.50    4.417700   4.4177   2.5430   4.2006 -99.0000   0.0000   0.0000
    5.50    4.530500   4.5305   2.5831   4.2076 -99.0000   0.0000   0.0000
    5.50    4.646500   4.6465   2.6234   4.2146 -99.0000   0.0000   0.0000
    5.50    4.765500   4.7655   2.6636   4.2217 -99.0000   0.0000   0.0000
    5.50    4.887400   4.8874   2.7038   4.2287 -99.0000   0.0000   0.0000
    5.50    5.013000   5.0130   2.7440   4.2357 -99.0000   0.0000   0.0000
    5.50    5.146000   5.1460   2.7842   4.2424 -99.0000   0.0000   0.0000
    5.50    5.282400   5.2824   2.8244   4.2490 -99.0000   0.0000   0.0000
    5.50    5.422500   5.4225   2.8646   4.2557 -99.0000   0.0000   0.0000
    5.50    5.566500   5.5665   2.9049   4.2624 -99.0000   0.0000   0.0000
    5.50    5.714200   5.7142   2.9451   4.2691 -99.0000   0.0000   0.0000
    5.50    5.865600   5.8656   2.9853   4.2758 -99.0000   0.0000   0.0000
    5.50    6.020800   6.0208   3.0254   4.2825 -99.0000   0.0000   0.0000
    5.50    6.180200   6.1802   3.0656   4.2892 -99.0000   0.0000   0.0000
    5.50    6.344200   6.3442   3.1058   4.2959 -99.0000   0.0000   0.0000
    5.50    6.512200   6.5122   3.1460   4.3025 -99.0000   0.0000   0.0000
    5.50    6.684900   6.6849   3.1862   4.3092 -99.0000   0.0000   0.0000
    5.50    6.862400   6.8624   3.2265   4.3159 -99.0000   0.0000   0.0000
    5.50    7.047700   7.0477   3.2667   4.3227 -99.0000   0.0000   0.0000
    5.50    7.248200   7.2482   3.3069   4.3296 -99.0000   0.0000   0.0000
    5.50    7.454800   7.4548   3.3472   4.3365 -99.0000   0.0000   0.0000
    5.50    7.667100   7.6671   3.3874   4.3435 -99.0000   0.0000   0.0000
    5.50    7.885300   7.8853   3.4276   4.3504 -99.0000   0.0000   0.0000
    5.50    8.109600   8.1096   3.4678   4.3573 -99.0000   0.0000   0.0000
    5.50    8.340100   8.3401   3.5079   4.3642 -99.0000   0.0000   0.0000
    5.50    8.576900   8.5769   3.5482   4.3711 -99.0000   0.0000   0.0000
    5.50    8.818600   8.8186   3.5883   4.3779 -99.0000   0.0000   0.0000
    5.50    9.070100   9.0701   3.6285   4.3846 -99.0000   0.0000   0.0000
    5.50    9.337700   9.3376   3.6687   4.3911 -99.0000   0.0000   0.0000
    5.50    9.612700   9.6125   3.7089   4.3976 -99.0000   0.0000   0.0000
    5.50    9.896000   9.8958   3.7491   4.4041 -99.0000   0.0000   0.0000
    5.50   10.187900  10.1877   3.7894   4.4107 -99.0000   0.0000   0.0000
    5.50   10.488000  10.4876   3.8296   4.4172 -99.0000   0.0000   0.0000
    5.50   10.796300  10.7959   3.8697   4.4237 -99.0000   0.0000   0.0000
    5.50   11.114000  11.1135   3.9099   4.4302 -99.0000   0.0000   0.0000
    5.50   11.441300  11.4406   3.9502   4.4366 -99.0000   0.0000   0.0000
    5.50   11.777700  11.7769   3.9903   4.4431 -99.0000   0.0000   0.0000
    5.50   12.128700  12.1275   4.0306   4.4495 -99.0000   0.0000   0.0000
    5.50   12.497500  12.4956   4.0707   4.4556 -99.0000   0.0000   0.0000
    5.50   12.877500  12.8747   4.1109   4.4618 -99.0000   0.0000   0.0000
    5.50   13.269000  13.2653   4.1511   4.4679 -99.0000   0.0000   0.0000
    5.50   13.672400  13.6676   4.1912   4.4740 -99.0000   0.0000   0.0000
    5.50   14.088000  14.0820   4.2314   4.4801 -99.0000   0.0000   0.0000
    5.50   14.516200  14.5088   4.2716   4.4863 -99.0000   0.0000   0.0000
    5.50   14.957400  14.9485   4.3118   4.4924 -99.0000   0.0000   0.0000
    5.50   15.458300  15.4479   4.3520   4.4983 -99.0000   0.0000   0.0000
    5.50   15.982100  15.9699   4.3922   4.5043 -99.0000   0.0000   0.0000
    5.50   16.521799  16.5076   4.4324   4.5102 -99.0000   0.0000   0.0000
    5.50   17.080500  17.0642   4.4726   4.5161 -99.0000   0.0000   0.0000
    5.50   17.657700  17.6390   4.5128   4.5220 -99.0000   0.0000   0.0000
    5.50   18.253799  18.2324   4.5530   4.5279 -99.0000   0.0000   0.0000
