# log(age)    Mini       Mact  logl  logt  logg  Composition  Phase
5.50 0.10000000 0.1000 -0.9901 3.4367 3.1268 0.4787 0.0000
5.50 0.10735749 0.1074 -0.9457 3.4399 3.1261 0.4787 0.0000
5.50 0.12000000 0.1200 -0.8735 3.4448 3.1219 0.4787 0.0000
5.50 0.13177931 0.1318 -0.8172 3.4500 3.1270 0.4787 0.0000
5.50 0.14000000 0.1400 -0.7804 3.4536 3.1311 0.4787 0.0000
5.50 0.15347241 0.1535 -0.7215 3.4599 3.1373 0.4787 0.0000
5.50 0.16032957 0.1603 -0.6951 3.4633 3.1433 0.4787 0.0000
5.50 0.17319517 0.1732 -0.6223 3.4700 3.1310 0.4787 0.0000
5.50 0.18725322 0.1873 -0.5683 3.4771 3.1389 0.4787 0.0000
5.50 0.21241510 0.2124 -0.4627 3.4911 3.1443 0.4787 0.0000
5.50 0.23058076 0.2306 -0.3796 3.5012 3.1374 0.4787 0.0000
5.50 0.24906982 0.2491 -0.3164 3.5105 3.1448 0.4787 0.0000
5.50 0.25000000 0.2500 -0.3138 3.5109 3.1455 0.4787 0.0000
5.50 0.27828661 0.2783 -0.2021 3.5244 3.1344 0.4787 0.0000
5.50 0.30000001 0.3000 -0.1266 3.5338 3.1288 0.4787 0.0000
5.50 0.34999999 0.3500 0.0286 3.5514 3.1110 0.4787 0.0000
5.50 0.40000001 0.4000 0.1539 3.5657 3.1011 0.4787 0.0000
5.50 0.44999999 0.4500 0.2564 3.5777 3.0978 0.4787 0.0000
5.50 0.50000000 0.5000 0.3400 3.5879 3.1008 0.4787 0.0000
5.50 0.50188953 0.5019 0.3413 3.5883 3.1024 0.4787 0.0000
5.50 0.55000001 0.5500 0.3995 3.5966 3.1172 0.4787 0.0000
5.50 0.55617386 0.5562 0.4044 3.5975 3.1207 0.4787 0.0000
5.50 0.57117999 0.5712 0.4151 3.5995 3.1298 0.4787 0.0000
5.50 0.58768874 0.5877 0.4328 3.6021 3.1345 0.4787 0.0000
5.50 0.60000002 0.6000 0.4447 3.6041 3.1399 0.4787 0.0000
5.50 0.60454798 0.6045 0.4463 3.6046 3.1437 0.4787 0.0000
5.50 0.62075210 0.6208 0.4584 3.6066 3.1508 0.4787 0.0000
5.50 0.63760805 0.6376 0.4735 3.6089 3.1567 0.4787 0.0000
5.50 0.64999998 0.6500 0.4830 3.6108 3.1630 0.4787 0.0000
5.50 0.65444750 0.6544 0.4854 3.6113 3.1655 0.4787 0.0000
5.50 0.67339849 0.6734 0.5002 3.6134 3.1716 0.4787 0.0000
5.50 0.69371116 0.6937 0.5151 3.6159 3.1798 0.4787 0.0000
5.50 0.69999999 0.7000 0.5205 3.6168 3.1816 0.4787 0.0000
5.50 0.73288888 0.7329 0.5473 3.6237 3.2026 0.4787 0.0000
5.50 0.75000000 0.7500 0.5624 3.6275 3.2126 0.4787 0.0000
5.50 0.77697730 0.7770 0.5809 3.6298 3.2188 0.4787 0.0000
5.50 0.80000001 0.8000 0.5976 3.6319 3.2231 0.4787 0.0000
5.50 0.81096774 0.8110 0.6046 3.6328 3.2255 0.4787 0.0000
5.50 0.84687388 0.8469 0.6295 3.6356 3.2308 0.4787 0.0000
5.50 0.85000002 0.8500 0.6317 3.6359 3.2313 0.4787 0.0000
5.50 0.87403399 0.8740 0.6471 3.6376 3.2349 0.4787 0.0000
5.50 0.89999998 0.9000 0.6635 3.6395 3.2389 0.4787 0.0000
5.50 0.94085920 0.9409 0.6893 3.6423 3.2434 0.4787 0.0000
5.50 0.94999999 0.9500 0.6957 3.6429 3.2437 0.4787 0.0000
5.50 0.99259651 0.9926 0.7212 3.6455 3.2477 0.4787 0.0000
5.50 1.00000000 1.0000 0.7260 3.6460 3.2480 0.4787 0.0000
5.50 1.04319596 1.0432 0.7498 3.6485 3.2526 0.4787 0.0000
5.50 1.04999995 1.0500 0.7537 3.6489 3.2530 0.4787 0.0000
5.50 1.10000002 1.1000 0.7814 3.6516 3.2563 0.4787 0.0000
5.50 1.10439932 1.1044 0.7836 3.6518 3.2568 0.4787 0.0000
5.50 1.14999998 1.1500 0.8085 3.6540 3.2583 0.4787 0.0000
5.50 1.18113697 1.1811 0.8243 3.6555 3.2599 0.4787 0.0000
5.50 1.20000005 1.2000 0.8345 3.6564 3.2601 0.4787 0.0000
5.50 1.23238587 1.2324 0.8497 3.6578 3.2622 0.4787 0.0000
5.50 1.25000000 1.2500 0.8585 3.6586 3.2626 0.4787 0.0000
5.50 1.28477967 1.2848 0.8740 3.6600 3.2649 0.4787 0.0000
5.50 1.29999995 1.3000 0.8817 3.6606 3.2648 0.4787 0.0000
5.50 1.35000002 1.3500 0.9049 3.6626 3.2658 0.4787 0.0000
5.50 1.36129773 1.3613 0.9093 3.6630 3.2667 0.4787 0.0000
5.50 1.39999998 1.4000 0.9268 3.6644 3.2671 0.4787 0.0000
5.50 1.45000005 1.4500 0.9480 3.6662 3.2683 0.4787 0.0000
5.50 1.46521592 1.4652 0.9539 3.6668 3.2690 0.4787 0.0000
5.50 1.50000000 1.5000 0.9691 3.6679 3.2684 0.4787 0.0000
5.50 1.54999995 1.5500 0.9884 3.6694 3.2698 0.4787 0.0000
