# log(age)    Mini       Mact  logl  logt  logg  Composition  Phase
5.50 0.09000000 0.0900 -0.9599 3.5175 3.3741 0.4787 0.0000
5.50 0.09482275 0.0948 -0.9244 3.5197 3.3701 0.4787 0.0000
5.50 0.10000000 0.1000 -0.8878 3.5219 3.3653 0.4787 0.0000
5.50 0.10915813 0.1092 -0.8133 3.5261 3.3456 0.4787 0.0000
5.50 0.12200618 0.1220 -0.7398 3.5307 3.3388 0.4787 0.0000
5.50 0.13451043 0.1345 -0.6577 3.5357 3.3192 0.4787 0.0000
5.50 0.14000000 0.1400 -0.6306 3.5376 3.3169 0.4787 0.0000
5.50 0.15760854 0.1576 -0.5238 3.5445 3.2895 0.4787 0.0000
5.50 0.16000000 0.1600 -0.5114 3.5454 3.2870 0.4787 0.0000
5.50 0.18722899 0.1872 -0.3685 3.5562 3.2556 0.4787 0.0000
5.50 0.20000000 0.2000 -0.3152 3.5605 3.2482 0.4787 0.0000
5.50 0.21445727 0.2145 -0.2497 3.5665 3.2372 0.4787 0.0000
5.50 0.25000000 0.2500 -0.0954 3.5803 3.2044 0.4787 0.0000
5.50 0.30000001 0.3000 0.0874 3.5997 3.1784 0.4787 0.0000
5.50 0.30676976 0.3068 0.1086 3.6022 3.1770 0.4787 0.0000
5.50 0.34999999 0.3500 0.2427 3.6173 3.1607 0.4787 0.0000
5.50 0.40000001 0.4000 0.3643 3.6318 3.1550 0.4787 0.0000
5.50 0.44999999 0.4500 0.4609 3.6432 3.1550 0.4787 0.0000
5.50 0.46845227 0.4685 0.4815 3.6465 3.1650 0.4787 0.0000
5.50 0.50000000 0.5000 0.5264 3.6518 3.1699 0.4787 0.0000
5.50 0.50748056 0.5075 0.5253 3.6527 3.1811 0.4787 0.0000
5.50 0.51537168 0.5154 0.5218 3.6536 3.1946 0.4787 0.0000
5.50 0.52176797 0.5218 0.5229 3.6543 3.2017 0.4787 0.0000
5.50 0.52973902 0.5297 0.5330 3.6554 3.2026 0.4787 0.0000
5.50 0.53833580 0.5383 0.5496 3.6569 3.1989 0.4787 0.0000
5.50 0.54763466 0.5476 0.5659 3.6588 3.1978 0.4787 0.0000
5.50 0.55000001 0.5500 0.5675 3.6593 3.2001 0.4787 0.0000
5.50 0.55529046 0.5553 0.5606 3.6598 3.2130 0.4787 0.0000
5.50 0.56351507 0.5635 0.5569 3.6605 3.2259 0.4787 0.0000
5.50 0.57209241 0.5721 0.5654 3.6614 3.2277 0.4787 0.0000
5.50 0.58139467 0.5814 0.5787 3.6627 3.2264 0.4787 0.0000
5.50 0.59145021 0.5915 0.5896 3.6643 3.2296 0.4787 0.0000
5.50 0.60000002 0.6000 0.5922 3.6659 3.2395 0.4787 0.0000
5.50 0.60980344 0.6098 0.5962 3.6670 3.2469 0.4787 0.0000
5.50 0.63173026 0.6317 0.6087 3.6695 3.2600 0.4787 0.0000
5.50 0.64999998 0.6500 0.6192 3.6718 3.2711 0.4787 0.0000
5.50 0.66095084 0.6610 0.6253 3.6729 3.2764 0.4787 0.0000
5.50 0.67859012 0.6786 0.6364 3.6747 3.2840 0.4787 0.0000
5.50 0.69785088 0.6979 0.6470 3.6769 3.2945 0.4787 0.0000
5.50 0.69999999 0.7000 0.6479 3.6772 3.2961 0.4787 0.0000
5.50 0.70104289 0.7010 0.6484 3.6774 3.2968 0.4787 0.0000
5.50 0.73157609 0.7316 0.6688 3.6821 3.3140 0.4787 0.0000
5.50 0.75000000 0.7500 0.6801 3.6851 3.3254 0.4787 0.0000
5.50 0.77273488 0.7727 0.6949 3.6869 3.3308 0.4787 0.0000
5.50 0.80000001 0.8000 0.7114 3.6893 3.3388 0.4787 0.0000
5.50 0.80207556 0.8021 0.7125 3.6895 3.3395 0.4787 0.0000
5.50 0.83927041 0.8393 0.7359 3.6923 3.3471 0.4787 0.0000
5.50 0.85000002 0.8500 0.7419 3.6931 3.3500 0.4787 0.0000
5.50 0.87676626 0.8768 0.7586 3.6949 3.3541 0.4787 0.0000
5.50 0.89999998 0.9000 0.7722 3.6966 3.3586 0.4787 0.0000
5.50 0.92805892 0.9281 0.7883 3.6984 3.3629 0.4787 0.0000
5.50 0.94999999 0.9500 0.8010 3.6998 3.3659 0.4787 0.0000
5.50 0.98336649 0.9834 0.8189 3.7018 3.3710 0.4787 0.0000
5.50 1.00000000 1.0000 0.8288 3.7028 3.3724 0.4787 0.0000
5.50 1.03390718 1.0339 0.8469 3.7046 3.3760 0.4787 0.0000
5.50 1.04999995 1.0500 0.8549 3.7055 3.3783 0.4787 0.0000
5.50 1.10000002 1.1000 0.8816 3.7080 3.3819 0.4787 0.0000
5.50 1.11424124 1.1142 0.8881 3.7087 3.3835 0.4787 0.0000
5.50 1.14999998 1.1500 0.9056 3.7104 3.3865 0.4787 0.0000
5.50 1.20000005 1.2000 0.9304 3.7125 3.3890 0.4787 0.0000
5.50 1.20779765 1.2078 0.9336 3.7129 3.3898 0.4787 0.0000
5.50 1.25000000 1.2500 0.9533 3.7145 3.3917 0.4787 0.0000
5.50 1.29999995 1.3000 0.9763 3.7164 3.3935 0.4787 0.0000
5.50 1.35000002 1.3500 0.9977 3.7182 3.3954 0.4787 0.0000
5.50 1.39708805 1.3971 1.0174 3.7197 3.3968 0.4787 0.0000
5.50 1.39999998 1.4000 1.0186 3.7198 3.3969 0.4787 0.0000
5.50 1.41633415 1.4163 1.0247 3.7204 3.3980 0.4787 0.0000
5.50 1.45000005 1.4500 1.0392 3.7214 3.3980 0.4787 0.0000
5.50 1.49719548 1.4972 1.0575 3.7228 3.3991 0.4787 0.0000
5.50 1.50000000 1.5000 1.0585 3.7229 3.3992 0.4787 0.0000
5.50 1.53651512 1.5365 1.0722 3.7239 3.3999 0.4787 0.0000
5.50 1.54999995 1.5500 1.0772 3.7243 3.4003 0.4787 0.0000
5.50 1.55644989 1.5564 1.0792 3.7245 3.4007 0.4787 0.0000
5.50 1.60000002 1.6000 1.0954 3.7256 3.4012 0.4787 0.0000
5.50 1.60279715 1.6028 1.0964 3.7257 3.4013 0.4787 0.0000
5.50 1.64999998 1.6500 1.1145 3.7269 3.4005 0.4787 0.0000
5.50 1.68700075 1.6870 1.1271 3.7278 3.4011 0.4787 0.0000
5.50 1.70000005 1.7000 1.1315 3.7281 3.4013 0.4787 0.0000
