# log(age)    Mini       Mact  logl  logt  logg  Composition  Phase
5.50 0.09000000 0.0900 -1.0406 3.4523 3.1940 0.4787 0.0000
5.50 0.10000000 0.1000 -0.9696 3.4568 3.1869 0.4787 0.0000
5.50 0.10921379 0.1092 -0.9131 3.4608 3.1845 0.4787 0.0000
5.50 0.12000000 0.1200 -0.8508 3.4653 3.1812 0.4787 0.0000
5.50 0.12931660 0.1293 -0.8027 3.4689 3.1800 0.4787 0.0000
5.50 0.14615168 0.1462 -0.7224 3.4757 3.1801 0.4787 0.0000
5.50 0.15688598 0.1569 -0.6789 3.4800 3.1845 0.4787 0.0000
5.50 0.16802135 0.1680 -0.6173 3.4851 3.1733 0.4787 0.0000
5.50 0.18062979 0.1806 -0.5616 3.4905 3.1702 0.4787 0.0000
5.50 0.19452281 0.1945 -0.5149 3.4961 3.1784 0.4787 0.0000
5.50 0.20689717 0.2069 -0.4677 3.5017 3.1805 0.4787 0.0000
5.50 0.22651093 0.2265 -0.3756 3.5109 3.1644 0.4787 0.0000
5.50 0.24619621 0.2462 -0.3075 3.5191 3.1653 0.4787 0.0000
5.50 0.25000000 0.2500 -0.2975 3.5206 3.1678 0.4787 0.0000
5.50 0.27544311 0.2754 -0.2013 3.5319 3.1588 0.4787 0.0000
5.50 0.30000001 0.3000 -0.1144 3.5420 3.1493 0.4787 0.0000
5.50 0.34999999 0.3500 0.0383 3.5601 3.1363 0.4787 0.0000
5.50 0.38730672 0.3873 0.1337 3.5716 3.1308 0.4787 0.0000
5.50 0.40000001 0.4000 0.1665 3.5754 3.1270 0.4787 0.0000
5.50 0.42786372 0.4279 0.2220 3.5824 3.1290 0.4787 0.0000
5.50 0.44999999 0.4500 0.2701 3.5879 3.1246 0.4787 0.0000
5.50 0.45092294 0.4509 0.2707 3.5880 3.1255 0.4787 0.0000
5.50 0.50000000 0.5000 0.3454 3.5980 3.1357 0.4787 0.0000
5.50 0.50863582 0.5086 0.3529 3.5994 3.1410 0.4787 0.0000
5.50 0.52102739 0.5210 0.3616 3.6012 3.1500 0.4787 0.0000
5.50 0.53101981 0.5310 0.3742 3.6029 3.1523 0.4787 0.0000
5.50 0.54322159 0.5432 0.3923 3.6052 3.1535 0.4787 0.0000
5.50 0.55000001 0.5500 0.4029 3.6067 3.1542 0.4787 0.0000
5.50 0.56297523 0.5630 0.4108 3.6084 3.1631 0.4787 0.0000
5.50 0.57996392 0.5800 0.4259 3.6108 3.1708 0.4787 0.0000
5.50 0.59749335 0.5975 0.4423 3.6137 3.1787 0.4787 0.0000
5.50 0.60000002 0.6000 0.4443 3.6141 3.1803 0.4787 0.0000
5.50 0.60017270 0.6002 0.4443 3.6141 3.1805 0.4787 0.0000
5.50 0.61553162 0.6155 0.4544 3.6159 3.1883 0.4787 0.0000
5.50 0.63166147 0.6317 0.4691 3.6180 3.1934 0.4787 0.0000
5.50 0.64888644 0.6489 0.4828 3.6206 3.2017 0.4787 0.0000
5.50 0.64999998 0.6500 0.4836 3.6208 3.2024 0.4787 0.0000
5.50 0.65616602 0.6562 0.4876 3.6214 3.2051 0.4787 0.0000
5.50 0.67643350 0.6764 0.5039 3.6237 3.2112 0.4787 0.0000
5.50 0.69818074 0.6982 0.5208 3.6265 3.2192 0.4787 0.0000
5.50 0.69999999 0.7000 0.5222 3.6267 3.2199 0.4787 0.0000
5.50 0.72425520 0.7243 0.5424 3.6317 3.2344 0.4787 0.0000
5.50 0.75000000 0.7500 0.5662 3.6371 3.2473 0.4787 0.0000
5.50 0.76114106 0.7611 0.5735 3.6380 3.2501 0.4787 0.0000
