# log(age) Mini Mact logl logt logg Composition Phase
5.50 0.09000000 0.0900 -0.8985 3.5494 3.4405 0.4787 0.0000
5.50 0.10000000 0.1000 -0.8143 3.5539 3.4200 0.4787 0.0000
5.50 0.12000000 0.1200 -0.6584 3.5624 3.3773 0.4787 0.0000
5.50 0.14000000 0.1400 -0.5369 3.5697 3.3517 0.4787 0.0000
5.50 0.14325811 0.1433 -0.5165 3.5710 3.3465 0.4787 0.0000
5.50 0.16000000 0.1600 -0.4114 3.5773 3.3148 0.4787 0.0000
5.50 0.20000000 0.2000 -0.2123 3.5921 3.2718 0.4787 0.0000
5.50 0.25000000 0.2500 0.0083 3.6148 3.2390 0.4787 0.0000
5.50 0.25306380 0.2531 0.0180 3.6161 3.2397 0.4787 0.0000
5.50 0.30000001 0.3000 0.1896 3.6358 3.2207 0.4787 0.0000
5.50 0.31426716 0.3143 0.2230 3.6403 3.2256 0.4787 0.0000
5.50 0.34999999 0.3500 0.3261 3.6514 3.2137 0.4787 0.0000
5.50 0.40000001 0.4000 0.4189 3.6629 3.2246 0.4787 0.0000
5.50 0.40544826 0.4054 0.4212 3.6638 3.2320 0.4787 0.0000
5.50 0.44999999 0.4500 0.4694 3.6718 3.2609 0.4787 0.0000
5.50 0.46094441 0.4609 0.4759 3.6735 3.2716 0.4787 0.0000
5.50 0.50699586 0.5070 0.5094 3.6800 3.3054 0.4787 0.0000
5.50 0.51511437 0.5151 0.5185 3.6810 3.3073 0.4787 0.0000
5.50 0.52784348 0.5278 0.5189 3.6825 3.3235 0.4787 0.0000
5.50 0.55000001 0.5500 0.5298 3.6853 3.3419 0.4787 0.0000
5.50 0.55929959 0.5593 0.5370 3.6860 3.3446 0.4787 0.0000
5.50 0.56890434 0.5689 0.5487 3.6869 3.3439 0.4787 0.0000
5.50 0.57926965 0.5793 0.5567 3.6881 3.3485 0.4787 0.0000
5.50 0.59041131 0.5904 0.5614 3.6895 3.3579 0.4787 0.0000
5.50 0.60000002 0.6000 0.5653 3.6909 3.3665 0.4787 0.0000
5.50 0.60044420 0.6004 0.5657 3.6909 3.3666 0.4787 0.0000
5.50 0.61313105 0.6131 0.5776 3.6919 3.3677 0.4787 0.0000
5.50 0.62687975 0.6269 0.5878 3.6933 3.3724 0.4787 0.0000
5.50 0.64481664 0.6448 0.5992 3.6952 3.3811 0.4787 0.0000
5.50 0.64999998 0.6500 0.6025 3.6958 3.3836 0.4787 0.0000
5.50 0.66090417 0.6609 0.6108 3.6966 3.3859 0.4787 0.0000
5.50 0.67923343 0.6792 0.6242 3.6982 3.3907 0.4787 0.0000
5.50 0.69907945 0.6991 0.6372 3.7001 3.3977 0.4787 0.0000
5.50 0.69999999 0.7000 0.6380 3.7002 3.3979 0.4787 0.0000
5.50 0.72113842 0.7211 0.6549 3.7041 3.4094 0.4787 0.0000
5.50 0.74520427 0.7452 0.6744 3.7087 3.4227 0.4787 0.0000
