# log(age)    Mini       Mact  logl  logt  logg  Composition  Phase
5.50 0.09000000 0.0900 -0.9880 3.4971 3.3206 0.4787 0.0000
5.50 0.09563409 0.0956 -0.9488 3.4997 3.3182 0.4787 0.0000
5.50 0.10064811 0.1006 -0.9154 3.5019 3.3159 0.4787 0.0000
5.50 0.11594198 0.1159 -0.8177 3.5086 3.3065 0.4787 0.0000
5.50 0.12000000 0.1200 -0.7962 3.5102 3.3063 0.4787 0.0000
5.50 0.12970294 0.1297 -0.7284 3.5148 3.2904 0.4787 0.0000
5.50 0.14421007 0.1442 -0.6520 3.5204 3.2827 0.4787 0.0000
5.50 0.15721947 0.1572 -0.5853 3.5252 3.2728 0.4787 0.0000
5.50 0.17857997 0.1786 -0.4638 3.5345 3.2437 0.4787 0.0000
5.50 0.19506848 0.1951 -0.3896 3.5408 3.2329 0.4787 0.0000
5.50 0.20000000 0.2000 -0.3708 3.5425 3.2319 0.4787 0.0000
5.50 0.24068053 0.2407 -0.1929 3.5590 3.2005 0.4787 0.0000
5.50 0.25000000 0.2500 -0.1594 3.5623 3.1966 0.4787 0.0000
5.50 0.25971535 0.2597 -0.1223 3.5662 3.1916 0.4787 0.0000
5.50 0.30000001 0.3000 0.0265 3.5812 3.1656 0.4787 0.0000
5.50 0.34999999 0.3500 0.1792 3.5984 3.1485 0.4787 0.0000
5.50 0.40000001 0.4000 0.3090 3.6130 3.1351 0.4787 0.0000
5.50 0.44999999 0.4500 0.4120 3.6251 3.1315 0.4787 0.0000
5.50 0.50000000 0.5000 0.4905 3.6349 3.1382 0.4787 0.0000
5.50 0.50288731 0.5029 0.4938 3.6354 3.1392 0.4787 0.0000
5.50 0.51779819 0.5178 0.5012 3.6374 3.1526 0.4787 0.0000
5.50 0.52716905 0.5272 0.5067 3.6387 3.1600 0.4787 0.0000
5.50 0.53487378 0.5349 0.5155 3.6399 3.1623 0.4787 0.0000
5.50 0.54449159 0.5445 0.5353 3.6418 3.1577 0.4787 0.0000
5.50 0.55000001 0.5500 0.5448 3.6429 3.1574 0.4787 0.0000
5.50 0.56095207 0.5610 0.5478 3.6442 3.1681 0.4787 0.0000
5.50 0.57233691 0.5723 0.5533 3.6456 3.1766 0.4787 0.0000
5.50 0.58542168 0.5854 0.5653 3.6473 3.1814 0.4787 0.0000
5.50 0.59934855 0.5993 0.5781 3.6495 3.1876 0.4787 0.0000
5.50 0.60000002 0.6000 0.5784 3.6496 3.1881 0.4787 0.0000
