# log(age) Mini Mact logl logt logg Composition Phase
5.50 1.85000002 1.8500 1.1533 3.7113 3.3491 0.4787 0.0000
5.50 1.89999998 1.9000 1.1688 3.7125 3.3501 0.4787 0.0000
5.50 1.95000005 1.9500 1.1846 3.7136 3.3499 0.4787 0.0000
5.50 2.00000000 2.0000 1.2002 3.7147 3.3495 0.4787 0.0000
5.50 2.04999995 2.0500 1.2152 3.7157 3.3495 0.4787 0.0000
5.50 2.07200003 2.0720 1.2213 3.7162 3.3499 0.4787 0.0000
5.50 2.09999990 2.1000 1.2303 3.7167 3.3489 0.4787 0.0000
5.50 2.15000010 2.1500 1.2447 3.7177 3.3485 0.4787 0.0000
5.50 2.18527794 2.1853 1.2543 3.7184 3.3487 0.4787 0.0000
5.50 2.20000005 2.2000 1.2583 3.7187 3.3488 0.4787 0.0000
5.50 2.21696877 2.2170 1.2629 3.7190 3.3487 0.4787 0.0000
5.50 2.25000000 2.2500 1.2721 3.7196 3.3484 0.4787 0.0000
5.50 2.25481772 2.2548 1.2734 3.7197 3.3484 0.4787 0.0000
5.50 2.29999995 2.3000 1.2869 3.7204 3.3466 0.4787 0.0000
5.50 2.33531427 2.3353 1.2961 3.7211 3.3466 0.4787 0.0000
5.50 2.34999990 2.3500 1.3006 3.7213 3.3457 0.4787 0.0000
5.50 2.40000010 2.4000 1.3142 3.7222 3.3449 0.4787 0.0000
5.50 2.49713826 2.4971 1.3176 3.7248 3.3691 0.4787 0.0000
5.50 2.59999990 2.6000 1.3305 3.7274 3.3841 0.4787 0.0000
5.50 2.69670773 2.6967 1.3573 3.7289 3.3791 0.4787 0.0000
5.50 2.79999995 2.8000 1.3879 3.7305 3.3713 0.4787 0.0000
5.50 2.96431971 2.9643 1.4363 3.7330 3.3578 0.4787 0.0000
5.50 3.00000000 3.0000 1.4467 3.7336 3.3548 0.4787 0.0000
5.50 3.04905105 3.0491 1.4605 3.7344 3.3512 0.4787 0.0000
5.50 3.20000005 3.2000 1.5096 3.7368 3.3327 0.4787 0.0000
5.50 3.25877166 3.2588 1.5281 3.7378 3.3260 0.4787 0.0000
5.50 3.40000010 3.4000 1.5778 3.7403 3.3050 0.4787 0.0000
5.50 3.42059040 3.4206 1.5848 3.7407 3.3022 0.4787 0.0000
5.50 3.55158973 3.5516 1.6383 3.7434 3.2758 0.4787 0.0000
5.50 3.59999990 3.6000 1.6634 3.7446 3.2614 0.4787 0.0000
5.50 3.77502394 3.7750 1.7575 3.7494 3.2070 0.4787 0.0000
5.50 3.79999995 3.8000 1.7717 3.7502 3.1987 0.4787 0.0000
5.50 3.94534373 3.9453 1.8811 3.7560 3.1292 0.4787 0.0000
5.50 4.00000000 4.0000 1.9253 3.7587 3.1015 0.4787 0.0000
5.50 4.08133316 4.0813 1.9903 3.7632 3.0633 0.4787 0.0000
5.50 4.19119453 4.1912 2.0692 3.7704 3.0246 0.4787 0.0000
5.50 4.19999981 4.2000 2.0753 3.7711 3.0221 0.4787 0.0000
5.50 4.28269672 4.2827 2.1331 3.7782 3.0013 0.4787 0.0000
5.50 4.37040854 4.3704 2.1947 3.7889 2.9915 0.4787 0.0000
5.50 4.40000010 4.4000 2.2158 3.7939 2.9931 0.4787 0.0000
5.50 4.43988943 4.4399 2.2447 3.8018 2.9998 0.4787 0.0000
5.50 4.48857307 4.4886 2.2810 3.8134 3.0146 0.4787 0.0000
5.50 4.53120089 4.5312 2.3135 3.8245 3.0308 0.4787 0.0000
5.50 4.58471298 4.5847 2.3552 3.8392 3.0527 0.4787 0.0000
5.50 4.59999990 4.6000 2.3674 3.8435 3.0593 0.4787 0.0000
5.50 4.63431644 4.6343 2.3950 3.8534 3.0745 0.4787 0.0000
5.50 4.68091154 4.6809 2.4332 3.8672 3.0960 0.4787 0.0000
5.50 4.72610474 4.7261 2.4709 3.8811 3.1178 0.4787 0.0000
5.50 4.77001142 4.7700 2.5079 3.8948 3.1399 0.4787 0.0000
5.50 4.80000019 4.8000 2.5335 3.9045 3.1556 0.4787 0.0000
5.50 4.80384636 4.8038 2.5368 3.9057 3.1576 0.4787 0.0000
5.50 4.84588337 4.8459 2.5732 3.9196 3.1805 0.4787 0.0000
5.50 4.88698101 4.8870 2.6090 3.9335 3.2040 0.4787 0.0000
5.50 4.92722178 4.9272 2.6442 3.9474 3.2280 0.4787 0.0000
5.50 4.96667528 4.9667 2.6788 3.9614 3.2528 0.4787 0.0000
5.50 5.00000000 5.0000 2.7078 3.9734 3.2747 0.4787 0.0000
5.50 5.00689888 5.0069 2.7138 3.9759 3.2793 0.4787 0.0000
5.50 5.04388094 5.0439 2.7458 3.9895 3.3049 0.4787 0.0000
5.50 5.08035374 5.0804 2.7770 4.0031 3.3313 0.4787 0.0000
5.50 5.11639261 5.1164 2.8072 4.0167 3.3586 0.4787 0.0000
5.50 5.15208721 5.1521 2.8366 4.0304 3.3868 0.4787 0.0000
5.50 5.18752956 5.1875 2.8651 4.0440 3.4158 0.4787 0.0000
5.50 5.19999981 5.2000 2.8748 4.0488 3.4263 0.4787 0.0000
5.50 5.22244120 5.2224 2.8923 4.0574 3.4454 0.4787 0.0000
5.50 5.25713205 5.2571 2.9185 4.0708 3.4755 0.4787 0.0000
5.50 5.29183006 5.2918 2.9439 4.0842 3.5065 0.4787 0.0000
5.50 5.32661676 5.3266 2.9684 4.0976 3.5383 0.4787 0.0000
5.50 5.36156940 5.3616 2.9921 4.1110 3.5710 0.4787 0.0000
5.50 5.39675522 5.3968 3.0150 4.1243 3.6044 0.4787 0.0000
5.50 5.40000010 5.4000 3.0170 4.1256 3.6076 0.4787 0.0000
5.50 5.43469000 5.4347 3.0384 4.1385 3.6409 0.4787 0.0000
5.50 5.47377920 5.4738 3.0613 4.1530 3.6788 0.4787 0.0000
5.50 5.51332045 5.5133 3.0833 4.1673 3.7175 0.4787 0.0000
5.50 5.55340576 5.5534 3.1043 4.1817 3.7569 0.4787 0.0000
5.50 5.59414387 5.5941 3.1244 4.1959 3.7969 0.4787 0.0000
5.50 5.59999990 5.6000 3.1273 4.1979 3.8027 0.4787 0.0000
5.50 5.60918951 5.6092 3.1316 4.2011 3.8117 0.4787 0.0000
5.50 5.64830065 5.6483 3.1492 4.2143 3.8498 0.4787 0.0000
5.50 5.68855667 5.6886 3.1661 4.2274 3.8886 0.4787 0.0000
5.50 5.73023605 5.7302 3.1822 4.2406 3.9283 0.4787 0.0000
5.50 5.78515291 5.7852 3.2010 4.2570 3.9794 0.4787 0.0000
5.50 5.80000019 5.8000 3.2057 4.2613 3.9931 0.4787 0.0000
5.50 5.83302879 5.8330 3.2147 4.2704 4.0226 0.4787 0.0000
5.50 5.84572697 5.8457 3.2176 4.2736 4.0337 0.4787 0.0000
5.50 5.90273094 5.9027 3.2257 4.2864 4.0809 0.4787 0.0000
5.50 5.99085283 5.9909 3.2214 4.2994 4.1437 0.4787 0.0000
5.50 6.00000000 6.0000 3.2204 4.3005 4.1497 0.4787 0.0000
5.50 6.04079199 6.0408 3.2164 4.3055 4.1769 0.4787 0.0000
5.50 6.16395044 6.1640 3.2188 4.3213 4.2462 0.4787 0.0000
5.50 6.19999981 6.2000 3.2273 4.3274 4.2648 0.4787 0.0000
5.50 6.24885225 6.2489 3.2383 4.3355 4.2897 0.4787 0.0000
5.50 6.35687590 6.3569 3.2570 4.3496 4.3346 0.4787 0.0000
5.50 6.40000010 6.4000 3.2626 4.3544 4.3512 0.4787 0.0000
5.50 6.40206623 6.4021 3.2629 4.3546 4.3520 0.4787 0.0000
5.50 6.57739353 6.5774 3.2589 4.3617 4.3959 0.4787 0.0000
5.50 6.73073721 6.7307 3.2547 4.3632 4.4163 0.4787 0.0000
5.50 6.77635431 6.7764 3.2555 4.3636 4.4198 0.4787 0.0000
5.50 7.00000000 7.0000 3.2816 4.3674 4.4232 0.4787 0.0000
5.50 7.08258677 7.0826 3.2958 4.3695 4.4223 0.4787 0.0000
5.50 8.00000000 8.0000 3.4661 4.3952 4.4076 0.4787 0.0000
5.50 8.08182907 8.0818 3.4801 4.3973 4.4065 0.4787 0.0000
5.50 9.00000000 9.0000 3.6291 4.4203 4.3965 0.4787 0.0000
5.50 10.00000000 10.0000 3.7706 4.4410 4.3836 0.4787 0.0000
5.50 11.00000000 11.0000 3.8983 4.4611 4.3776 0.4787 0.0000
5.50 12.00000000 12.0000 4.0104 4.4760 4.3627 0.4787 0.0000
5.50 14.00000000 13.9994 4.2083 4.5064 4.3535 0.4787 0.0000
5.50 16.00000000 15.9987 4.3728 4.5299 4.3411 0.4787 0.0000
5.50 18.00000000 17.9976 4.5134 4.5480 4.3239 0.4787 0.0000
5.50 20.00000000 19.9959 4.6363 4.5647 4.3133 0.4787 0.0000
5.50 22.75592804 22.7482 4.7813 4.5839 4.3012 0.4787 0.0000
5.50 24.00000000 23.9903 4.8412 4.5921 4.2971 0.4787 0.0000
5.50 28.00000000 27.9811 5.0064 4.6138 4.2855 0.4787 0.0000
5.50 30.00000000 29.9751 5.0781 4.6228 4.2798 0.4787 0.0000
5.50 35.00000000 34.9553 5.2329 4.6418 4.2678 0.4787 0.0000
5.50 40.00000000 39.9291 5.3612 4.6569 4.2579 0.4787 0.0000
5.50 42.79847717 42.7097 5.4238 4.6640 4.2528 0.4787 0.0000
5.50 45.00000000 44.8959 5.4702 4.6693 4.2492 0.4787 0.0000
5.50 50.00000000 49.8569 5.5644 4.6794 4.2409 0.4787 0.0000
5.50 55.00000000 54.8117 5.6472 4.6878 4.2330 0.4787 0.0000
5.50 60.00000000 59.7611 5.7205 4.6950 4.2258 0.4787 0.0000
5.50 65.00000000 64.7055 5.7863 4.7010 4.2185 0.4787 0.0000
