# Models from Nenkova et al. 2008, reformatted for FSPS
# units: lambda (A), flux: fnu noramlized to unity
# columns: lambda, flux*9 -> 9 optical depths: 5,10,20,30,40,60,80,100,150
     5.0    10.0    20.0    30.0    40.0    60.0    80.0   100.0   150.0
   8.200E+04   1.427E-14   1.460E-14   1.248E-14   1.070E-14   9.465E-15   8.046E-15   7.378E-15   7.083E-15   6.866E-15
   8.400E+04   1.517E-14   1.437E-14   1.172E-14   9.983E-15   8.920E-15   7.879E-15   7.527E-15   7.474E-15   7.605E-15
   8.600E+04   1.556E-14   1.415E-14   1.129E-14   9.669E-15   8.771E-15   8.032E-15   7.912E-15   8.029E-15   8.391E-15
   8.800E+04   1.578E-14   1.377E-14   1.081E-14   9.364E-15   8.670E-15   8.278E-15   8.416E-15   8.708E-15   9.291E-15
   9.000E+04   1.583E-14   1.324E-14   1.030E-14   9.095E-15   8.642E-15   8.650E-15   9.058E-15   9.535E-15   1.032E-14
   9.200E+04   1.573E-14   1.280E-14   9.989E-15   9.028E-15   8.803E-15   9.154E-15   9.792E-15   1.041E-14   1.135E-14
   9.300E+04   1.571E-14   1.271E-14   9.968E-15   9.102E-15   8.955E-15   9.428E-15   1.014E-14   1.081E-14   1.181E-14
   9.400E+04   1.573E-14   1.271E-14   1.003E-14   9.231E-15   9.139E-15   9.697E-15   1.047E-14   1.117E-14   1.223E-14
   9.450E+04   1.576E-14   1.277E-14   1.012E-14   9.324E-15   9.247E-15   9.824E-15   1.061E-14   1.133E-14   1.240E-14
   9.500E+04   1.579E-14   1.283E-14   1.020E-14   9.424E-15   9.356E-15   9.953E-15   1.075E-14   1.148E-14   1.256E-14
   9.550E+04   1.584E-14   1.292E-14   1.030E-14   9.534E-15   9.472E-15   1.008E-14   1.089E-14   1.162E-14   1.272E-14
   9.600E+04   1.589E-14   1.303E-14   1.043E-14   9.660E-15   9.592E-15   1.020E-14   1.101E-14   1.175E-14   1.286E-14
   9.650E+04   1.595E-14   1.314E-14   1.056E-14   9.788E-15   9.716E-15   1.032E-14   1.113E-14   1.188E-14   1.300E-14
   9.700E+04   1.601E-14   1.327E-14   1.070E-14   9.922E-15   9.844E-15   1.044E-14   1.125E-14   1.200E-14   1.312E-14
   9.750E+04   1.607E-14   1.340E-14   1.085E-14   1.006E-14   9.976E-15   1.055E-14   1.137E-14   1.211E-14   1.325E-14
   9.800E+04   1.613E-14   1.354E-14   1.101E-14   1.021E-14   1.011E-14   1.068E-14   1.148E-14   1.223E-14   1.337E-14
   9.850E+04   1.619E-14   1.368E-14   1.116E-14   1.035E-14   1.025E-14   1.080E-14   1.160E-14   1.235E-14   1.349E-14
   9.900E+04   1.624E-14   1.381E-14   1.131E-14   1.050E-14   1.038E-14   1.092E-14   1.172E-14   1.247E-14   1.362E-14
   9.950E+04   1.629E-14   1.394E-14   1.147E-14   1.064E-14   1.052E-14   1.105E-14   1.184E-14   1.259E-14   1.375E-14
   1.000E+05   1.634E-14   1.406E-14   1.162E-14   1.079E-14   1.066E-14   1.117E-14   1.196E-14   1.271E-14   1.387E-14
   1.020E+05   1.651E-14   1.455E-14   1.221E-14   1.137E-14   1.121E-14   1.168E-14   1.246E-14   1.321E-14   1.439E-14
   1.050E+05   1.674E-14   1.544E-14   1.333E-14   1.244E-14   1.218E-14   1.249E-14   1.318E-14   1.389E-14   1.506E-14
   1.100E+05   1.678E-14   1.701E-14   1.563E-14   1.471E-14   1.426E-14   1.414E-14   1.450E-14   1.502E-14   1.601E-14
   1.130E+05   1.660E-14   1.773E-14   1.694E-14   1.612E-14   1.561E-14   1.528E-14   1.545E-14   1.584E-14   1.666E-14
   1.160E+05   1.630E-14   1.829E-14   1.819E-14   1.753E-14   1.700E-14   1.651E-14   1.650E-14   1.674E-14   1.738E-14
   1.200E+05   1.568E-14   1.882E-14   1.982E-14   1.951E-14   1.903E-14   1.836E-14   1.809E-14   1.811E-14   1.840E-14
   1.250E+05   1.472E-14   1.909E-14   2.161E-14   2.193E-14   2.166E-14   2.090E-14   2.035E-14   2.007E-14   1.984E-14
   1.300E+05   1.360E-14   1.895E-14   2.305E-14   2.419E-14   2.429E-14   2.362E-14   2.287E-14   2.233E-14   2.152E-14
   1.350E+05   1.253E-14   1.854E-14   2.404E-14   2.606E-14   2.664E-14   2.628E-14   2.544E-14   2.471E-14   2.338E-14
   1.400E+05   1.177E-14   1.814E-14   2.463E-14   2.738E-14   2.841E-14   2.844E-14   2.766E-14   2.684E-14   2.522E-14
   1.450E+05   1.169E-14   1.819E-14   2.499E-14   2.800E-14   2.924E-14   2.952E-14   2.886E-14   2.812E-14   2.658E-14
   1.500E+05   1.198E-14   1.852E-14   2.525E-14   2.825E-14   2.953E-14   2.995E-14   2.945E-14   2.886E-14   2.764E-14
   1.550E+05   1.232E-14   1.884E-14   2.542E-14   2.836E-14   2.965E-14   3.020E-14   2.990E-14   2.948E-14   2.863E-14
   1.600E+05   1.266E-14   1.911E-14   2.550E-14   2.838E-14   2.968E-14   3.037E-14   3.027E-14   3.004E-14   2.960E-14
   1.650E+05   1.294E-14   1.932E-14   2.553E-14   2.835E-14   2.968E-14   3.054E-14   3.064E-14   3.061E-14   3.056E-14
   1.700E+05   1.313E-14   1.943E-14   2.553E-14   2.835E-14   2.974E-14   3.077E-14   3.107E-14   3.123E-14   3.150E-14
   1.750E+05   1.320E-14   1.946E-14   2.553E-14   2.839E-14   2.987E-14   3.109E-14   3.156E-14   3.186E-14   3.240E-14
   1.800E+05   1.315E-14   1.941E-14   2.556E-14   2.853E-14   3.010E-14   3.151E-14   3.212E-14   3.253E-14   3.324E-14
   1.850E+05   1.298E-14   1.930E-14   2.561E-14   2.875E-14   3.045E-14   3.202E-14   3.274E-14   3.321E-14   3.402E-14
   1.900E+05   1.269E-14   1.911E-14   2.569E-14   2.904E-14   3.090E-14   3.263E-14   3.342E-14   3.390E-14   3.472E-14
   1.950E+05   1.232E-14   1.885E-14   2.577E-14   2.939E-14   3.141E-14   3.331E-14   3.413E-14   3.461E-14   3.537E-14
   2.000E+05   1.187E-14   1.853E-14   2.583E-14   2.973E-14   3.195E-14   3.402E-14   3.488E-14   3.533E-14   3.598E-14
   2.100E+05   1.101E-14   1.783E-14   2.577E-14   3.023E-14   3.282E-14   3.526E-14   3.620E-14   3.660E-14   3.704E-14
   2.200E+05   1.027E-14   1.712E-14   2.552E-14   3.041E-14   3.333E-14   3.614E-14   3.719E-14   3.761E-14   3.791E-14
   2.300E+05   9.605E-15   1.640E-14   2.512E-14   3.039E-14   3.361E-14   3.677E-14   3.795E-14   3.838E-14   3.860E-14
   2.400E+05   9.063E-15   1.576E-14   2.467E-14   3.019E-14   3.363E-14   3.708E-14   3.840E-14   3.887E-14   3.906E-14
   2.500E+05   8.593E-15   1.516E-14   2.414E-14   2.985E-14   3.348E-14   3.716E-14   3.861E-14   3.913E-14   3.933E-14
   2.600E+05   8.178E-15   1.460E-14   2.360E-14   2.943E-14   3.319E-14   3.707E-14   3.864E-14   3.920E-14   3.943E-14
   2.700E+05   7.833E-15   1.408E-14   2.303E-14   2.894E-14   3.279E-14   3.684E-14   3.850E-14   3.912E-14   3.939E-14
   2.800E+05   7.522E-15   1.358E-14   2.246E-14   2.841E-14   3.232E-14   3.650E-14   3.824E-14   3.890E-14   3.923E-14
   3.000E+05   6.949E-15   1.262E-14   2.129E-14   2.726E-14   3.125E-14   3.563E-14   3.750E-14   3.824E-14   3.865E-14
   3.500E+05   5.171E-15   9.960E-15   1.802E-14   2.402E-14   2.827E-14   3.322E-14   3.546E-14   3.638E-14   3.680E-14
   4.000E+05   3.438E-15   7.256E-15   1.435E-14   2.020E-14   2.467E-14   3.029E-14   3.310E-14   3.435E-14   3.500E-14
   4.500E+05   2.248E-15   5.113E-15   1.095E-14   1.625E-14   2.061E-14   2.658E-14   2.991E-14   3.163E-14   3.292E-14
   5.000E+05   1.514E-15   3.624E-15   8.253E-15   1.279E-14   1.674E-14   2.263E-14   2.621E-14   2.828E-14   3.032E-14
   5.500E+05   1.055E-15   2.617E-15   6.240E-15   1.000E-14   1.345E-14   1.889E-14   2.251E-14   2.476E-14   2.740E-14
   6.000E+05   7.566E-16   1.926E-15   4.754E-15   7.829E-15   1.077E-14   1.565E-14   1.909E-14   2.139E-14   2.441E-14
   6.500E+05   5.565E-16   1.443E-15   3.663E-15   6.167E-15   8.630E-15   1.290E-14   1.608E-14   1.832E-14   2.153E-14
   7.000E+05   4.184E-16   1.101E-15   2.857E-15   4.891E-15   6.950E-15   1.064E-14   1.352E-14   1.562E-14   1.887E-14
   7.500E+05   3.205E-16   8.541E-16   2.254E-15   3.917E-15   5.631E-15   8.801E-15   1.136E-14   1.330E-14   1.647E-14
   8.000E+05   2.498E-16   6.716E-16   1.798E-15   3.162E-15   4.592E-15   7.305E-15   9.557E-15   1.132E-14   1.434E-14
   8.500E+05   1.977E-16   5.356E-16   1.451E-15   2.576E-15   3.773E-15   6.091E-15   8.066E-15   9.658E-15   1.248E-14
   9.000E+05   1.585E-16   4.321E-16   1.182E-15   2.117E-15   3.125E-15   5.105E-15   6.835E-15   8.260E-15   1.087E-14
   9.500E+05   1.287E-16   3.525E-16   9.722E-16   1.753E-15   2.604E-15   4.302E-15   5.815E-15   7.081E-15   9.474E-15
   1.000E+06   1.056E-16   2.903E-16   8.066E-16   1.463E-15   2.185E-15   3.647E-15   4.967E-15   6.091E-15   8.272E-15
   1.050E+06   8.763E-17   2.417E-16   6.757E-16   1.232E-15   1.848E-15   3.110E-15   4.265E-15   5.266E-15   7.244E-15
   1.100E+06   7.344E-17   2.028E-16   5.700E-16   1.044E-15   1.573E-15   2.665E-15   3.680E-15   4.567E-15   6.357E-15
   1.200E+06   5.306E-17   1.460E-16   4.141E-16   7.639E-16   1.159E-15   1.987E-15   2.773E-15   3.474E-15   4.939E-15
   1.300E+06   3.974E-17   1.084E-16   3.096E-16   5.748E-16   8.758E-16   1.516E-15   2.133E-15   2.693E-15   3.891E-15
   1.400E+06   3.027E-17   8.248E-17   2.368E-16   4.414E-16   6.756E-16   1.178E-15   1.669E-15   2.120E-15   3.105E-15
   1.500E+06   2.307E-17   6.384E-17   1.839E-16   3.443E-16   5.288E-16   9.279E-16   1.321E-15   1.688E-15   2.500E-15
   2.000E+06   7.210E-18   2.121E-17   6.201E-17   1.175E-16   1.824E-16   3.265E-16   4.736E-16   6.151E-16   9.476E-16
   2.500E+06   2.975E-18   8.819E-18   2.595E-17   4.947E-17   7.723E-17   1.396E-16   2.045E-16   2.679E-16   4.213E-16
   3.000E+06   1.398E-18   4.148E-18   1.226E-17   2.347E-17   3.676E-17   6.687E-17   9.846E-17   1.297E-16   2.065E-16
   4.000E+06   4.385E-19   1.301E-18   3.864E-18   7.417E-18   1.166E-17   2.134E-17   3.158E-17   4.180E-17   6.738E-17
   5.000E+06   1.833E-19   5.421E-19   1.614E-18   3.103E-18   4.884E-18   8.964E-18   1.330E-17   1.764E-17   2.861E-17
   7.000E+06   5.127E-20   1.509E-19   4.502E-19   8.671E-19   1.367E-18   2.515E-18   3.738E-18   4.972E-18   8.096E-18
   1.000E+07   1.369E-20   4.013E-20   1.199E-19   2.312E-19   3.649E-19   6.719E-19   1.000E-18   1.332E-18   2.176E-18
   1.500E+07   3.052E-21   8.912E-21   2.665E-20   5.146E-20   8.119E-20   1.497E-19   2.231E-19   2.971E-19   4.862E-19
   2.250E+07   6.816E-22   2.017E-21   6.035E-21   1.165E-20   1.839E-20   3.394E-20   5.058E-20   6.741E-20   1.104E-19
   3.350E+07   1.569E-22   4.766E-22   1.426E-21   2.754E-21   4.350E-21   8.026E-21   1.197E-20   1.595E-20   2.614E-20
   5.000E+07   3.588E-23   1.087E-22   3.251E-22   6.276E-22   9.912E-22   1.830E-21   2.729E-21   3.638E-21   5.960E-21
   7.400E+07   8.503E-24   2.547E-23   7.622E-23   1.472E-22   2.325E-22   4.292E-22   6.397E-22   8.541E-22   1.399E-21
   1.100E+08   1.931E-24   5.607E-24   1.679E-23   3.245E-23   5.125E-23   9.454E-23   1.410E-22   1.881E-22   3.083E-22
   1.300E+08   9.924E-25   2.878E-24   8.792E-24   1.665E-23   2.629E-23   4.858E-23   7.240E-23   9.655E-23   1.585E-22
   1.600E+08   4.346E-25   1.283E-24   4.402E-24   7.771E-24   1.171E-23   2.163E-23   3.227E-23   4.308E-23   7.056E-23
   2.400E+08   9.072E-26   2.590E-25   7.743E-25   1.504E-24   2.374E-24   4.438E-24   6.545E-24   8.678E-24   1.424E-23
   3.600E+08   1.687E-26   5.402E-26   1.640E-25   3.194E-25   4.942E-25   1.291E-24   1.377E-24   1.858E-24   2.969E-24
