#  log(age)     mini          mact           logl     logt  phase
    6.6000    0.1500000060    0.1500000000   -2.5111    3.5183   0.0
    6.6000    0.2000000030    0.2000000000   -2.2373    3.5399   0.0
    6.6000    0.2500000000    0.2500000000   -2.0502    3.5514   0.0
    6.6000    0.3000000119    0.3000000000   -1.9017    3.5605   0.0
    6.6000    0.3499999940    0.3500000000   -1.7732    3.5691   0.0
    6.6000    0.4000000060    0.4000000000   -1.6336    3.5769   0.0
    6.6000    0.4499999881    0.4500000000   -1.5097    3.5859   0.0
    6.6000    0.5000000000    0.5000000000   -1.3910    3.5962   0.0
    6.6000    0.5500000119    0.5500000000   -1.2619    3.6074   0.0
    6.6000    0.6000000238    0.6000000000   -1.1380    3.6202   0.0
    6.6000    0.6999999881    0.7000000000   -0.8791    3.6487   0.0
    6.6000    0.8000000119    0.8000000000   -0.6174    3.6811   0.0
    6.6000    0.8999999762    0.9000000000   -0.3759    3.7178   0.0
    6.6000    1.0000000000    1.0000000000   -0.1641    3.7477   0.0
    6.6000    1.1000000238    1.1000000000    0.0304    3.7698   0.0
    6.6000    1.2000000477    1.2000000000    0.2471    3.7953   0.0
    6.6000    1.2999999523    1.3000000000    0.4185    3.8153   0.0
    6.6000    1.3999999762    1.4000000000    0.5699    3.8349   0.0
    6.6000    1.5000000000    1.5000000000    0.6999    3.8566   0.0
    6.6000    1.6000000238    1.6000000000    0.8272    3.8815   0.0
    6.6000    1.7000000477    1.7000000000    0.9457    3.9053   0.0
    6.6000    1.7999999523    1.8000000000    1.0468    3.9269   0.0
    6.6000    1.8999999762    1.9000000000    1.1368    3.9456   0.0
    6.6000    1.9500000477    1.9500000000    1.1803    3.9545   0.0
    6.6000    2.0000000000    2.0000000000    1.2475    3.9639   0.0
    6.6000    2.2000000477    2.2000000000    1.3905    3.9943   0.0
    6.6000    2.5000000000    2.5000000000    1.6048    4.0344   0.0
    6.6000    3.0000000000    3.0000000000    1.9059    4.0886   0.0
    6.6000    3.5000000000    3.5000000000    2.1531    4.1319   0.0
    6.6000    3.6867854595    3.6868000000    2.2349    4.1460   0.0
