# log(age)    Mini       Mact  logl  logt  logg  Composition  Phase
    5.50    0.08000000   0.0800  -3.6100   3.3644   5.3500   0.4787   0.0000
    5.50    0.09000000   0.0900  -3.2700   3.4219   5.2920   0.4787   0.0000
    5.50    0.10000000   0.1000  -3.0700   3.4492   5.2510   0.4787   0.0000
    5.50    0.11000000   0.1100  -2.9300   3.4655   5.2180   0.4787   0.0000
    5.50    0.13000000   0.1300  -2.7300   3.4852   5.1690   0.4787   0.0000
    5.50    0.15000001   0.1500  -2.3514   3.5751   5.2119   0.4787   0.0000
    5.50    0.20000000   0.2000  -2.0656   3.5981   5.1431   0.4787   0.0000
    5.50    0.25000000   0.2500  -1.8757   3.6096   5.0959   0.4787   0.0000
    5.50    0.30000001   0.3000  -1.7265   3.6184   5.0612   0.4787   0.0000
    5.50    0.34999999   0.3500  -1.6027   3.6258   5.0342   0.4787   0.0000
    5.50    0.40000001   0.4000  -1.4556   3.6331   4.9739   0.4787   0.0000
    5.50    0.44999999   0.4500  -1.3310   3.6416   4.9346   0.4787   0.0000
    5.50    0.50000000   0.5000  -1.1954   3.6519   4.8858   0.4787   0.0000
    5.50    0.55000001   0.5500  -1.0454   3.6667   4.8365   0.4787   0.0000
    5.50    0.60000002   0.6000  -0.8896   3.6853   4.7931   0.4787   0.0000
    5.50    0.69999999   0.7000  -0.5822   3.7293   4.7286   0.4787   0.0000
    5.50    0.80000001   0.8000  -0.3071   3.7693   4.6716   0.4787   0.0000
    5.50    0.89999998   0.9000  -0.0624   3.8001   4.6009   0.4787   0.0000
    5.50    1.08684826   1.0868   0.3201   3.8509   4.5037   0.4787   0.0000
    5.50    1.18684828   1.1868   0.4955   3.8849   4.5025   0.4787   0.0000
    5.50    1.28684819   1.2868   0.6553   3.9195   4.5163   0.4787   0.0000
    5.50    1.38684821   1.3868   0.7958   3.9511   4.5346   0.4787   0.0000
    5.50    1.48684824   1.4868   0.9301   3.9806   4.5487   0.4787   0.0000
    5.50    1.58684826   1.5868   1.0457   4.0068   4.5662   0.4787   0.0000
    5.50    1.64342415   1.6434   1.1128   4.0203   4.5683   0.4787   0.0000
    5.50    1.70000005   1.7000   1.1711   4.0337   4.5783   0.4787   0.0000
    5.50    1.75657582   1.7566   1.2291   4.0453   4.5808   0.4787   0.0000
    5.50    1.89999998   1.9000   1.3586   4.0741   4.6004   0.4787   0.0000
    5.50    2.00099993   2.0009   1.4054   4.0804   4.6059   0.0000   0.0000
    5.50    2.05080009   2.0508   1.4456   4.0877   4.6061   0.0000   0.0000
    5.50    2.10240006   2.1024   1.4859   4.0951   4.6058   0.0000   0.0000
    5.50    2.15510011   2.1551   1.5260   4.1023   4.6054   0.0000   0.0000
    5.50    2.20919991   2.2092   1.5662   4.1096   4.6052   0.0000   0.0000
    5.50    2.26460004   2.2646   1.6064   4.1169   4.6048   0.0000   0.0000
    5.50    2.32150006   2.3215   1.6466   4.1241   4.6045   0.0000   0.0000
    5.50    2.37980008   2.3798   1.6868   4.1315   4.6042   0.0000   0.0000
    5.50    2.43959999   2.4396   1.7271   4.1387   4.6039   0.0000   0.0000
    5.50    2.50090003   2.5009   1.7672   4.1460   4.6034   0.0000   0.0000
    5.50    2.56570005   2.5657   1.8074   4.1537   4.6053   0.0000   0.0000
    5.50    2.63269997   2.6327   1.8477   4.1615   4.6078   0.0000   0.0000
    5.50    2.70129991   2.7013   1.8878   4.1694   4.6101   0.0000   0.0000
    5.50    2.77169991   2.7717   1.9280   4.1773   4.6125   0.0000   0.0000
