#
# log(age)    Mini       Mact  logl  logt  logg  C/O  Phase
    6.65    0.2000000030  0.2000  -2.0080   3.6158   5.1562   0.4787   0.0000
    6.65    0.2500000000  0.2500  -1.7958   3.6285   5.0917   0.4787   0.0000
    6.65    0.3000000119  0.3000  -1.6574   3.6372   5.0673   0.4787   0.0000
    6.65    0.3499999940  0.3500  -1.5359   3.6446   5.0424   0.4787   0.0000
    6.65    0.4000000060  0.4000  -1.4187   3.6513   5.0099   0.4787   0.0000
    6.65    0.4499999881  0.4500  -1.2816   3.6596   4.9572   0.4787   0.0000
    6.65    0.5000000000  0.5000  -1.1516   3.6693   4.9117   0.4787   0.0000
    6.65    0.5500000119  0.5500  -1.0014   3.6842   4.8626   0.4787   0.0000
    6.65    0.6000000238  0.6000  -0.8341   3.7095   4.8342   0.4787   0.0000
    6.65    0.6999999881  0.7000  -0.5341   3.7480   4.7550   0.4787   0.0000
    6.65    0.8000000119  0.8000  -0.2584   3.7843   4.6826   0.4787   0.0000
    6.65    0.8999999762  0.9000  -0.0142   3.8158   4.6158   0.4787   0.0000
    6.65    1.0000000000  1.0000   0.2014   3.8464   4.5682   0.4787   0.0000
    6.65    1.1500000954  1.1500   0.4752   3.8995   4.5676   0.4787   0.0000
    6.65    1.2500000000  1.2500   0.6391   3.9361   4.5861   0.4787   0.0000
    6.65    1.3999999762  1.4000   0.8546   3.9846   4.6141   0.4787   0.0000
    6.65    1.5000000000  1.5000   0.9796   4.0128   4.6315   0.4787   0.0000
    6.65    1.6000000238  1.6000   1.0964   4.0385   4.6456   0.4787   0.0000
    6.65    1.7250000238  1.7250   1.2293   4.0679   4.6632   0.4787   0.0000
    6.65    1.7599999905  1.7600   1.2648   4.0756   4.6670   0.4787   0.0000
    6.65    1.7999999523  1.8000   1.3039   4.0838   4.6704   0.4787   0.0000
    6.65    1.8999999762  1.9000   1.3975   4.1033   4.6786   0.4787   0.0000
    6.65    2.0000000000  2.0000   1.4852   4.1216   4.6861   0.4787   0.0000
    6.65    2.2000000477  2.2000   1.6372   4.1537   4.7042   0.4787   0.0000
    6.65    2.5000000000  2.5000   1.8363   4.1917   4.7126   0.4787   0.0000
    6.65    3.0000000000  3.0000   2.1060   4.2386   4.7097   0.4787   0.0000
    6.65    3.5000000000  3.5000   2.3287   4.2741   4.6960   0.4787   0.0000
    6.65    4.0000000000  4.0000   2.5170   4.3023   4.6781   0.4787   0.0000
    6.65    4.5000000000  4.5000   2.6814   4.3266   4.6621   0.4787   0.0000
    6.65    5.0000000000  5.0000   2.8266   4.3476   4.6466   0.4787   0.0000
    6.65    5.0848441124  5.0848   2.8492   4.3508   4.6442   0.4787   0.0000
    6.65    6.5000000000  6.5000   3.1804   4.3992   4.6133   0.4787   0.0000
    6.65    9.5000000000  9.5000   3.6533   4.4650   4.5685   0.4787   0.0000
