# log(age)    Mini       Mact  logl  logt  logg  Composition  Phase
    5.50    0.08000000   0.0800  -3.6100   3.3644   5.3500   0.4787   0.0000
    5.50    0.09000000   0.0900  -3.2700   3.4219   5.2920   0.4787   0.0000
    5.50    0.10000000   0.1000  -3.0700   3.4492   5.2510   0.4787   0.0000
    5.50    0.11000000   0.1100  -2.9300   3.4655   5.2180   0.4787   0.0000
    5.50    0.13000000   0.1300  -2.7300   3.4852   5.1690   0.4787   0.0000
    5.50    0.15000001   0.1500  -2.5171   3.5145   5.1350   0.4787   0.0000
    5.50    0.20000000   0.2000  -2.2478   3.5351   5.0734   0.4787   0.0000
    5.50    0.25000000   0.2500  -2.0635   3.5460   5.0294   0.4787   0.0000
    5.50    0.30000001   0.3000  -1.9131   3.5557   4.9972   0.4787   0.0000
    5.50    0.34999999   0.3500  -1.7799   3.5650   4.9678   0.4787   0.0000
    5.50    0.40000001   0.4000  -1.6433   3.5732   4.9222   0.4787   0.0000
    5.50    0.44999999   0.4500  -1.5185   3.5824   4.8852   0.4787   0.0000
    5.50    0.50000000   0.5000  -1.3990   3.5927   4.8526   0.4787   0.0000
    5.50    0.55000001   0.5500  -1.2728   3.6038   4.8123   0.4787   0.0000
    5.50    0.60000002   0.6000  -1.1522   3.6171   4.7826   0.4787   0.0000
    5.50    0.69999999   0.7000  -0.8963   3.6444   4.7030   0.4787   0.0000
    5.50    0.80000001   0.8000  -0.6399   3.6753   4.6281   0.4787   0.0000
    5.50    0.89999998   0.9000  -0.3984   3.7108   4.5797   0.4787   0.0000
    5.50    1.00000000   1.0000  -0.1778   3.7414   4.5276   0.4787   0.0000
    5.50    1.10000002   1.1000   0.0179   3.7645   4.4656   0.4787   0.0000
    5.50    1.20000005   1.2000   0.2201   3.7877   4.3938   0.4787   0.0000
    5.50    1.29999995   1.3000   0.3961   3.8089   4.3375   0.4787   0.0000
    5.50    1.39999998   1.4000   0.5469   3.8278   4.2944   0.4787   0.0000
    5.50    1.50000000   1.5000   0.6783   3.8477   4.2725   0.4787   0.0000
    5.50    1.60000002   1.6000   0.8043   3.8701   4.2643   0.4787   0.0000
    5.50    1.70000005   1.7000   0.9225   3.8933   4.2652   0.4787   0.0000
    5.50    1.79999995   1.8000   1.0300   3.9146   4.2676   0.4787   0.0000
    5.50    1.92442691   1.9244   1.1388   3.9378   4.2807   0.4787   0.0000
    5.50    2.00819993   2.0081   1.2077   3.9517   4.2904   0.0000   0.0000
    5.50    2.05450010   2.0545   1.2480   3.9591   4.2900   0.0000   0.0000
    5.50    2.10190010   2.1019   1.2882   3.9666   4.2895   0.0000   0.0000
    5.50    2.15039992   2.1504   1.3284   3.9741   4.2891   0.0000   0.0000
    5.50    2.20009995   2.2001   1.3686   3.9815   4.2887   0.0000   0.0000
    5.50    2.25090003   2.2509   1.4088   3.9890   4.2883   0.0000   0.0000
    5.50    2.30270004   2.3027   1.4490   3.9965   4.2879   0.0000   0.0000
    5.50    2.35579991   2.3558   1.4891   4.0039   4.2874   0.0000   0.0000
    5.50    2.41030002   2.4103   1.5293   4.0114   4.2870   0.0000   0.0000
    5.50    2.46600008   2.4660   1.5696   4.0189   4.2866   0.0000   0.0000
    5.50    2.52340007   2.5234   1.6098   4.0263   4.2862   0.0000   0.0000
    5.50    2.58330011   2.5833   1.6500   4.0338   4.2858   0.0000   0.0000
    5.50    2.64459991   2.6446   1.6902   4.0412   4.2854   0.0000   0.0000
    5.50    2.70740008   2.7074   1.7304   4.0485   4.2850   0.0000   0.0000
