#
# log(age)    Mini       Mact  logl  logt  logg  C/O  Phase
    6.60    0.1500000060  0.1500  -2.3725   3.5679   5.2040   0.4787   0.0000
    6.60    0.2000000030  0.2000  -2.0804   3.5931   5.1378   0.4787   0.0000
    6.60    0.2500000000  0.2500  -1.8891   3.6051   5.0912   0.4787   0.0000
    6.60    0.3000000119  0.3000  -1.7384   3.6144   5.0571   0.4787   0.0000
    6.60    0.3499999940  0.3500  -1.6138   3.6221   5.0301   0.4787   0.0000
    6.60    0.4000000060  0.4000  -1.4678   3.6285   4.9676   0.4787   0.0000
    6.60    0.4499999881  0.4500  -1.3484   3.6363   4.9308   0.4787   0.0000
    6.60    0.5000000000  0.5000  -1.2156   3.6459   4.8820   0.4787   0.0000
    6.60    0.5500000119  0.5500  -1.0693   3.6591   4.8298   0.4787   0.0000
    6.60    0.6000000238  0.6000  -0.9190   3.6754   4.7826   0.4787   0.0000
    6.60    0.6999999881  0.7000  -0.6160   3.7173   4.7143   0.4787   0.0000
    6.60    0.8000000119  0.8000  -0.3422   3.7579   4.6609   0.4787   0.0000
    6.60    0.8999999762  0.9000  -0.1002   3.7893   4.5957   0.4787   0.0000
    6.60    1.0499999523  1.0500   0.2145   3.8298   4.5100   0.4787   0.0000
    6.60    1.1500000954  1.1500   0.4006   3.8597   4.4829   0.4787   0.0000
    6.60    1.2500000000  1.2500   0.5676   3.8900   4.4733   0.4787   0.0000
    6.60    1.3499999046  1.3500   0.7161   3.9213   4.4834   0.4787   0.0000
    6.60    1.4500000477  1.4500   0.8543   3.9521   4.4994   0.4787   0.0000
    6.60    1.5499999523  1.5500   0.9750   3.9794   4.5171   0.4787   0.0000
    6.60    1.6250000000  1.6250   1.0653   3.9990   4.5254   0.4787   0.0000
    6.60    1.7000000477  1.7000   1.1458   4.0167   4.5354   0.4787   0.0000
    6.60    1.7749999762  1.7750   1.2219   4.0319   4.5388   0.4787   0.0000
    6.60    1.8999999762  1.9000   1.3346   4.0564   4.5540   0.4787   0.0000
    6.60    2.0000000000  2.0000   1.4221   4.0738   4.5581   0.4787   0.0000
    6.60    2.2000000477  2.2000   1.5734   4.1030   4.5648   0.4787   0.0000
    6.60    2.5000000000  2.5000   1.7752   4.1400   4.5669   0.4787   0.0000
    6.60    3.0000000000  3.0000   2.0528   4.1868   4.5555   0.4787   0.0000
    6.60    3.5000000000  3.5000   2.2816   4.2234   4.5402   0.4787   0.0000
    6.60    4.0000000000  4.0000   2.4763   4.2536   4.5242   0.4787   0.0000
    6.60    4.5000000000  4.5000   2.6435   4.2789   4.5093   0.4787   0.0000
    6.60    5.0000000000  5.0000   2.7898   4.3011   4.4977   0.4787   0.0000
    6.60    5.5543565750  5.5544   2.9381   4.3227   4.4813   0.4787   0.0000
    6.60    6.0000000000  6.0000   3.0481   4.3392   4.4707   0.4787   0.0000
    6.60    7.0000000000  7.0000   3.2672   4.3716   4.4482   0.4787   0.0000
    6.60    8.7500000000  8.7500   3.5850   4.4182   4.4137   0.4787   0.0000
    6.60   11.0000000000 11.0000   3.9012   4.4606   4.3667   0.4787   0.0000
    6.60   11.8601026535 11.8569   4.0043   4.4737   4.3485   0.4787   0.0000
    6.60   13.5000000000 13.4878   4.1860   4.4975   4.3179   0.4787   0.0000
    6.60   17.5000000000 17.4751   4.5340   4.5406   4.2547   0.4787   0.0000
    6.60   19.1349048615 19.0966   4.6469   4.5532   4.2308   0.4787   0.0000
    6.60   26.1412258148 25.9726   5.0554   4.5906   4.1054   0.4787   0.0000
    6.60   30.0000000000 29.7125   5.2431   4.6013   4.0192   0.4787   0.0000
    6.60   34.7731704712 34.2165   5.4071   4.6015   3.9170   0.4787   0.0000
    6.60   38.4515800476 37.6196   5.5196   4.5949   3.8196   0.4787   0.0000
    6.60   40.0000000000 39.0210   5.5640   4.5894   3.7690   0.4787   0.0000
    6.60   40.9773750305 39.9134   5.5876   4.5863   3.7426   0.4787   0.0000
    6.60   43.5986862183 42.2786   5.6490   4.5746   3.6594   0.4787   0.0000
    6.60   45.9060363770 44.3394   5.6997   4.5626   3.5815   0.4787   0.0000
    6.60   47.9533348083 46.1072   5.7429   4.5453   3.4862   0.4787   0.0000
    6.60   49.6253356934 47.5173   5.7768   4.5285   3.3982   0.4787   0.0000
    6.60   50.9979133606 48.6601   5.8037   4.5133   3.3208   0.4787   0.0000
    6.60   52.2483062744 49.6887   5.8274   4.4982   3.2457   0.4787   0.0000
    6.60   53.3393592834 50.5724   5.8476   4.4838   3.1755   0.4787   0.0000
    6.60   54.3630867004 51.3478   5.8663   4.4648   3.0874   0.4787   0.0000
    6.60   55.2451591492 51.9853   5.8822   4.4458   3.0009   0.4787   0.0000
    6.60   56.0678520203 52.5430   5.8967   4.4259   2.9112   0.4787   0.0000
    6.60   56.7525520325 52.9690   5.9085   4.4068   2.8266   0.4787   0.0000
    6.60   57.3968772888 52.4981   5.9181   4.3513   2.5912   0.4787   0.0000
    6.60   57.9304313660 51.1201   5.9242   4.2653   2.2296   0.4787   0.0000
    6.60   58.4345512390 49.2227   5.9281   4.1658   1.8113   0.4787   0.0000
    6.60   58.8958778381 45.8750   5.9314   3.9846   1.0525   0.4787   0.0000
    6.60   59.2872695923 42.8498   5.9365   3.8194   0.3569   0.4787   0.0000
    6.60   60.0000000000 40.4505   5.9558   4.4241   2.7317   0.4787   0.0000
    6.60   60.2279319763 40.3663   5.9602   4.4301   2.7501   0.4787   0.0000
    6.60   60.4856452942 40.4061   5.9775   4.4588   2.8481   0.4787   0.0000
    6.60   60.5087585449 40.4089   5.9850   4.4689   2.8812   0.4787   0.0000
    6.60   60.5391578674 40.4112   5.9948   4.4533   2.8090   0.4787   0.0000
    6.60   60.5520286560 40.4121   5.9977   4.4383   2.7461   0.4787   0.0000
    6.60   60.5613403320 40.4127   5.9992   4.4239   2.6868   0.4787   0.0000
    6.60   60.5692138672 40.4132   6.0003   4.4099   2.6300   0.4787   0.0000
    6.60   60.5763664246 40.4137   6.0013   4.3950   2.5694   0.4787   0.0000
    6.60   60.5831680298 40.4042   6.0024   4.3784   2.5017   0.4787   0.0000
    6.60   60.5903320312 40.3942   6.0035   4.3585   2.4209   0.4787   0.0000
    6.60   60.5971221924 40.3847   6.0048   4.3368   2.3325   0.4787   0.0000
    6.60   60.6049995422 40.3537   6.0063   4.3088   2.2188   0.4787   0.0000
    6.60   60.6118087769 40.3171   6.0076   4.2802   2.1028   0.4787   0.0000
    6.60   60.6189689636 40.2784   6.0090   4.2464   1.9656   0.4787   0.0000
    6.60   60.6247062683 40.2442   6.0103   4.2117   1.8253   0.4787   0.0000
    6.60   60.6318664551 40.1865   6.0124   4.1580   1.6077   0.4787   0.0000
    6.60   60.6375923157 40.1300   6.0141   4.1020   1.3816   0.4787   0.0000
    6.60   60.6426124573 40.0588   6.0156   4.0496   1.1696   0.4787   0.0000
    6.60   60.6465530396 40.0275   6.0164   4.0289   1.0855   0.4787   0.0000
    6.60   60.6504936218 39.9961   6.0174   4.0104   1.0102   0.4787   0.0000
    6.60   60.6533584595 39.9733   6.0179   3.9974   0.9573   0.4787   0.0000
    6.60   60.6562232971 39.9505   6.0184   3.9828   0.8982   0.4787   0.0000
    6.60   60.6594543457 39.9248   6.0190   3.9682   0.8392   0.4787   0.0000
    6.60   60.6612434387 39.9099   6.0193   3.9582   0.7984   0.4787   0.0000
    6.60   60.6633872986 39.8891   6.0201   3.9485   0.7586   0.4787   0.0000
    6.60   60.6651840210 39.8703   6.0209   3.9385   0.7175   0.4787   0.0000
    6.60   60.6673393250 39.8477   6.0220   3.9273   0.6715   0.4787   0.0000
    6.60   60.6691246033 39.8288   6.0228   3.9156   0.6236   0.4787   0.0000
    6.60   60.6712722778 39.8063   6.0238   3.9011   0.5646   0.4787   0.0000
    6.60   60.6719932556 39.7988   6.0242   3.8927   0.5305   0.4787   0.0000
    6.60   60.6730690002 39.7884   6.0247   3.8843   0.4964   0.4787   0.0000
    6.60   60.6741371155 39.7781   6.0252   3.8754   0.4602   0.4787   0.0000
    6.60   60.6748580933 39.7712   6.0256   3.8655   0.4199   0.4787   0.0000
    6.60   60.6770133972 39.7505   6.0265   3.8509   0.3603   0.4787   0.0000
    6.60   60.6788024902 39.7333   6.0274   3.8402   0.3164   0.4787   0.0000
    6.60   60.6820220947 39.7023   6.0289   3.8305   0.2758   0.4787   0.0000
    6.60   60.6856117249 39.6679   6.0306   3.8215   0.2377   0.4787   0.0000
    6.60   60.6906318665 39.6197   6.0329   3.8114   0.1947   0.4787   0.0000
    6.60   60.6963729858 39.5645   6.0353   3.8011   0.1505   0.4787   0.0000
    6.60   60.7042617798 39.4886   6.0389   3.7895   0.0996   0.4787   0.0000
    6.60   60.7178878784 39.3553   6.0462   3.7796   0.0511   0.4787   0.0000
    6.60   60.7770843506 38.7723   6.0710   3.7693  -0.0212   0.4787   0.0000
    6.60   61.0705757141 35.9426   6.0937   3.8308   0.1690   0.4787   0.0000
    6.60   61.0921745300 35.7320   6.0874   3.9311   0.5738   0.4787   0.0000
    6.60   61.1670913696 35.4634   6.0899   4.1976   1.6342   0.4787   0.0000
    6.60   61.1914978027 35.3852   6.0901   4.2189   1.7183   0.4787   0.0000
    6.60   61.2089309692 35.3293   6.0903   4.2316   1.7682   0.4787   0.0000
    6.60   61.2193984985 35.2999   6.0902   4.2418   1.8088   0.4787   0.0000
    6.60   61.2298545837 35.2704   6.0903   4.2555   1.8630   0.4787   0.0000
    6.60   61.2333450317 35.2606   6.0903   4.2644   1.8987   0.4787   0.0000
    6.60   61.2368392944 35.2507   6.0903   4.2800   1.9608   0.4787   0.0000
    6.60   61.2403221130 35.2409   6.0902   4.2958   2.0240   0.4787   0.0000
    6.60   61.2438125610 35.2297   6.0903   4.3088   2.0758   0.4787   0.0000
    6.60   61.2472991943 35.2185   6.0903   4.3222   2.1292   0.4787   0.0000
    6.60   61.2507896423 35.2073   6.0903   4.3337   2.1751   0.4787   0.0000
