# log(age)    Mini       Mact  logl  logt  logg  Composition  Phase
    5.50    0.08000000   0.0800  -3.6100   3.3644   5.3500   0.4787   0.0000
    5.50    0.09000000   0.0900  -3.2700   3.4219   5.2920   0.4787   0.0000
    5.50    0.10000000   0.1000  -3.0700   3.4492   5.2510   0.4787   0.0000
    5.50    0.11000000   0.1100  -2.9300   3.4655   5.2180   0.4787   0.0000
    5.50    0.13000000   0.1300  -2.7300   3.4852   5.1690   0.4787   0.0000
    5.50    0.15000001   0.1500  -2.4497   3.5412   5.1745   0.4787   0.0000
    5.50    0.20000000   0.2000  -2.1714   3.5630   5.1082   0.4787   0.0000
    5.50    0.25000000   0.2500  -1.9824   3.5746   5.0628   0.4787   0.0000
    5.50    0.30000001   0.3000  -1.8322   3.5839   5.0287   0.4787   0.0000
    5.50    0.34999999   0.3500  -1.7062   3.5917   5.0009   0.4787   0.0000
    5.50    0.40000001   0.4000  -1.5604   3.5986   4.9407   0.4787   0.0000
    5.50    0.44999999   0.4500  -1.4409   3.6074   4.9076   0.4787   0.0000
    5.50    0.50000000   0.5000  -1.3100   3.6180   4.8648   0.4787   0.0000
    5.50    0.55000001   0.5500  -1.1713   3.6302   4.8164   0.4787   0.0000
    5.50    0.60000002   0.6000  -1.0389   3.6421   4.7697   0.4787   0.0000
    5.50    0.69999999   0.7000  -0.7571   3.6754   4.6878   0.4787   0.0000
    5.50    0.80551416   0.8055  -0.4667   3.7210   4.6410   0.4787   0.0000
    5.50    0.91102833   0.9110  -0.2095   3.7581   4.5856   0.4787   0.0000
    5.50    1.01102829   1.0110   0.0050   3.7836   4.5181   0.4787   0.0000
    5.50    1.11102831   1.1110   0.2156   3.8087   4.4490   0.4787   0.0000
    5.50    1.21102834   1.2110   0.3963   3.8311   4.3953   0.4787   0.0000
    5.50    1.31102824   1.3110   0.5587   3.8547   4.3617   0.4787   0.0000
    5.50    1.41102827   1.4110   0.7018   3.8835   4.3659   0.4787   0.0000
    5.50    1.79448581   1.7945   1.1428   3.9794   4.4129   0.4787   0.0000
    5.50    1.89448583   1.8945   1.2405   3.9998   4.4202   0.4787   0.0000
    5.50    2.01200008   2.0120   1.3089   4.0127   4.4342   0.0000   0.0000
    5.50    2.06080008   2.0607   1.3490   4.0202   4.4345   0.0000   0.0000
    5.50    2.11069989   2.1107   1.3892   4.0277   4.4349   0.0000   0.0000
    5.50    2.16199994   2.1620   1.4295   4.0353   4.4351   0.0000   0.0000
    5.50    2.21449995   2.2145   1.4697   4.0428   4.4354   0.0000   0.0000
    5.50    2.26819992   2.2682   1.5100   4.0503   4.4356   0.0000   0.0000
    5.50    2.32319999   2.3232   1.5501   4.0578   4.4359   0.0000   0.0000
    5.50    2.37960005   2.3796   1.5904   4.0654   4.4362   0.0000   0.0000
    5.50    2.43740010   2.4374   1.6306   4.0729   4.4364   0.0000   0.0000
    5.50    2.49650002   2.4965   1.6708   4.0804   4.4367   0.0000   0.0000
    5.50    2.55839992   2.5584   1.7109   4.0874   4.4353   0.0000   0.0000
    5.50    2.62210011   2.6221   1.7512   4.0944   4.4338   0.0000   0.0000
    5.50    2.68709993   2.6871   1.7913   4.1014   4.4323   0.0000   0.0000
    5.50    2.75390005   2.7539   1.8315   4.1084   4.4309   0.0000   0.0000
    5.50    2.82240009   2.8224   1.8717   4.1154   4.4294   0.0000   0.0000
    5.50    2.89260006   2.8926   1.9119   4.1225   4.4279   0.0000   0.0000
    5.50    2.96449995   2.9645   1.9521   4.1295   4.4264   0.0000   0.0000
