# log(age)    Mini       Mact  logl  logt  logg  Composition  Phase
    5.50    0.080000   0.0800  -3.6100   3.3644   5.3500   0.4787   0.0000
    5.50    0.090000   0.0900  -3.2700   3.4219   5.2920   0.4787   0.0000
    5.50    0.100000   0.1000  -3.0700   3.4492   5.2510   0.4787   0.0000
    5.50    0.110000   0.1100  -2.9300   3.4655   5.2180   0.4787   0.0000
    5.50    0.130000   0.1300  -2.7300   3.4852   5.1690   0.4787   0.0000
    5.50    0.150000   0.1500  -2.4325   3.5472   5.1812   0.4787   0.0000
    5.50    0.200000   0.2000  -2.1461   3.5713   5.1162   0.4787   0.0000
    5.50    0.250000   0.2500  -1.9557   3.5833   5.0706   0.4787   0.0000
    5.50    0.300000   0.3000  -1.8045   3.5928   5.0369   0.4787   0.0000
    5.50    0.350000   0.3500  -1.6787   3.6006   5.0093   0.4787   0.0000
    5.50    0.400000   0.4000  -1.5333   3.6070   4.9473   0.4787   0.0000
    5.50    0.450000   0.4500  -1.4164   3.6151   4.9140   0.4787   0.0000
    5.50    0.500000   0.5000  -1.2861   3.6250   4.8690   0.4787   0.0000
    5.50    0.550000   0.5500  -1.1465   3.6368   4.8180   0.4787   0.0000
    5.50    0.600000   0.6000  -1.0105   3.6491   4.7692   0.4787   0.0000
    5.50    0.700000   0.7000  -0.7231   3.6845   4.6903   0.4787   0.0000
    5.50    0.839119   0.8391  -0.3546   3.7401   4.6229   0.4787   0.0000
    5.50    0.978238   0.9782  -0.0383   3.7821   4.5411   0.4787   0.0000
    5.50    1.078238   1.0782   0.1628   3.8072   4.4827   0.4787   0.0000
    5.50    1.178238   1.1782   0.3551   3.8344   4.4376   0.4787   0.0000
    5.50    1.278238   1.2782   0.5225   3.8603   4.4094   0.4787   0.0000
    5.50    1.378238   1.3782   0.6727   3.8858   4.3941   0.4787   0.0000
    5.50    1.478238   1.4782   0.8079   3.9142   4.4028   0.4787   0.0000
    5.50    1.760881   1.7609   1.1313   3.9844   4.4362   0.4787   0.0000
    5.50    1.860881   1.8609   1.2298   4.0047   4.4425   0.4787   0.0000
    5.50    2.007730   2.0076   1.3288   4.0233   4.4553   0.4787   0.0000
    5.50    2.056290   2.0563   1.3686   4.0310   4.4568   0.4787   0.0000
    5.50    2.106810   2.1068   1.4088   4.0385   4.4574   0.4787   0.0000
    5.50    2.158570   2.1586   1.4490   4.0461   4.4581   0.4787   0.0000
    5.50    2.211630   2.2116   1.4892   4.0537   4.4587   0.4787   0.0000
    5.50    2.266050   2.2661   1.5295   4.0612   4.4594   0.4787   0.0000
    5.50    2.321750   2.3217   1.5697   4.0688   4.4600   0.4787   0.0000
    5.50    2.378850   2.3788   1.6099   4.0764   4.4607   0.4787   0.0000
    5.50    2.437290   2.4373   1.6501   4.0840   4.4613   0.4787   0.0000
    5.50    2.497660   2.4977   1.6903   4.0914   4.4614   0.4787   0.0000
    5.50    2.559970   2.5600   1.7305   4.0986   4.4609   0.4787   0.0000
    5.50    2.624270   2.6243   1.7707   4.1058   4.4600   0.4787   0.0000
    5.50    2.690190   2.6902   1.8109   4.1129   4.4591   0.4787   0.0000
    5.50    2.757710   2.7577   1.8511   4.1200   4.4582   0.4787   0.0000
    5.50    2.826980   2.8270   1.8913   4.1272   4.4573   0.4787   0.0000
    5.50    2.898040   2.8980   1.9315   4.1343   4.4564   0.4787   0.0000
    5.50    2.970800   2.9708   1.9717   4.1414   4.4554   0.4787   0.0000
    5.50    3.046410   3.0464   2.0119   4.1483   4.4537   0.4787   0.0000
    5.50    3.124670   3.1247   2.0521   4.1549   4.4510   0.4787   0.0000
    5.50    3.205080   3.2051   2.0923   4.1615   4.4482   0.4787   0.0000
    5.50    3.287490   3.2875   2.1325   4.1680   4.4453   0.4787   0.0000
    5.50    3.372140   3.3721   2.1727   4.1746   4.4423   0.4787   0.0000
    5.50    3.458840   3.4588   2.2129   4.1812   4.4394   0.4787   0.0000
    5.50    3.547890   3.5479   2.2531   4.1877   4.4366   0.4787   0.0000
    5.50    3.639100   3.6391   2.2933   4.1943   4.4337   0.4787   0.0000
    5.50    3.732770   3.7328   2.3335   4.2009   4.4308   0.4787   0.0000
    5.50    3.828730   3.8287   2.3737   4.2075   4.4279   0.4787   0.0000
    5.50    3.927340   3.9273   2.4139   4.2140   4.4250   0.4787   0.0000
    5.50    4.031180   4.0312   2.4541   4.2209   4.4236   0.4787   0.0000
    5.50    4.141510   4.1415   2.4943   4.2280   4.4235   0.4787   0.0000
    5.50    4.255330   4.2553   2.5345   4.2350   4.4233   0.4787   0.0000
    5.50    4.372260   4.3723   2.5747   4.2421   4.4232   0.4787   0.0000
    5.50    4.492320   4.4923   2.6148   4.2492   4.4231   0.4787   0.0000
    5.50    4.615780   4.6158   2.6550   4.2563   4.4229   0.4787   0.0000
    5.50    4.742600   4.7426   2.6953   4.2634   4.4228   0.4787   0.0000
    5.50    4.872770   4.8728   2.7354   4.2704   4.4227   0.4787   0.0000
    5.50    5.007020   5.0070   2.7756   4.2773   4.4218   0.4787   0.0000
    5.50    5.147440   5.1474   2.8158   4.2838   4.4195   0.4787   0.0000
    5.50    5.292470   5.2925   2.8560   4.2902   4.4171   0.4787   0.0000
    5.50    5.441890   5.4419   2.8963   4.2966   4.4146   0.4787   0.0000
    5.50    5.595460   5.5955   2.9365   4.3031   4.4123   0.4787   0.0000
    5.50    5.753310   5.7533   2.9766   4.3095   4.4099   0.4787   0.0000
    5.50    5.915520   5.9155   3.0169   4.3159   4.4075   0.4787   0.0000
    5.50    6.082390   6.0824   3.0571   4.3224   4.4051   0.4787   0.0000
    5.50    6.253900   6.2539   3.0973   4.3288   4.4027   0.4787   0.0000
    5.50    6.430310   6.4303   3.1374   4.3352   4.4004   0.4787   0.0000
    5.50    6.611920   6.6119   3.1777   4.3417   4.3980   0.4787   0.0000
    5.50    6.798260   6.7983   3.2179   4.3481   4.3956   0.4787   0.0000
    5.50    6.990810   6.9908   3.2581   4.3545   4.3932   0.4787   0.0000
    5.50    7.195650   7.1957   3.2983   4.3609   4.3911   0.4787   0.0000
    5.50    7.407300   7.4073   3.3385   4.3672   4.3887   0.4787   0.0000
    5.50    7.624750   7.6248   3.3787   4.3735   4.3863   0.4787   0.0000
    5.50    7.848820   7.8488   3.4189   4.3798   4.3839   0.4787   0.0000
    5.50    8.078290   8.0783   3.4590   4.3861   4.3812   0.4787   0.0000
    5.50    8.314480   8.3145   3.4992   4.3923   4.3784   0.4787   0.0000
    5.50    8.557820   8.5578   3.5394   4.3986   4.3757   0.4787   0.0000
    5.50    8.808170   8.8081   3.5796   4.4048   4.3730   0.4787   0.0000
    5.50    9.065830   9.0658   3.6198   4.4110   4.3702   0.4787   0.0000
    5.50    9.336200   9.3361   3.6600   4.4173   4.3680   0.4787   0.0000
    5.50    9.615280   9.6152   3.7002   4.4236   4.3658   0.4787   0.0000
    5.50    9.902440   9.9023   3.7404   4.4299   4.3636   0.4787   0.0000
    5.50   10.205000  10.2049   3.7806   4.4360   4.3611   0.4787   0.0000
    5.50   10.519100  10.5189   3.8207   4.4421   4.3584   0.4787   0.0000
    5.50   10.843500  10.8432   3.8610   4.4482   4.3558   0.4787   0.0000
    5.50   11.177700  11.1773   3.9012   4.4544   4.3531   0.4787   0.0000
    5.50   11.522100  11.5216   3.9415   4.4604   4.3504   0.4787   0.0000
    5.50   11.876800  11.8763   3.9816   4.4665   4.3478   0.4787   0.0000
    5.50   12.249000  12.2483   4.0217   4.4724   4.3448   0.4787   0.0000
    5.50   12.638300  12.6373   4.0619   4.4783   4.3417   0.4787   0.0000
    5.50   13.039800  13.0384   4.1021   4.4842   4.3386   0.4787   0.0000
    5.50   13.454200  13.4523   4.1423   4.4901   4.3355   0.4787   0.0000
    5.50   13.881400  13.8791   4.1825   4.4960   4.3324   0.4787   0.0000
