#
# log(age)    Mini       Mact  logl  logt  logg  C/O  Phase
    6.60    0.1500000060  0.1500  -2.3818   3.5647   5.2006   0.4787   0.0000
    6.60    0.2000000030  0.2000  -2.0868   3.5909   5.1355   0.4787   0.0000
    6.60    0.2500000000  0.2500  -1.8949   3.6031   5.0892   0.4787   0.0000
    6.60    0.3000000119  0.3000  -1.7436   3.6127   5.0553   0.4787   0.0000
    6.60    0.3499999940  0.3500  -1.6187   3.6204   5.0283   0.4787   0.0000
    6.60    0.4000000060  0.4000  -1.4731   3.6264   4.9649   0.4787   0.0000
    6.60    0.4499999881  0.4500  -1.3560   3.6340   4.9292   0.4787   0.0000
    6.60    0.5000000000  0.5000  -1.2244   3.6432   4.8803   0.4787   0.0000
    6.60    0.5500000119  0.5500  -1.0797   3.6557   4.8269   0.4787   0.0000
    6.60    0.6000000238  0.6000  -0.9319   3.6710   4.7780   0.4787   0.0000
    6.60    0.6999999881  0.7000  -0.6307   3.7121   4.7080   0.4787   0.0000
    6.60    0.8000000119  0.8000  -0.3575   3.7529   4.6563   0.4787   0.0000
    6.60    0.8999999762  0.9000  -0.1167   3.7846   4.5934   0.4787   0.0000
    6.60    1.0339035988  1.0339   0.1684   3.8206   4.5126   0.4787   0.0000
    6.60    1.1339036226  1.1339   0.3592   3.8487   4.4742   0.4787   0.0000
    6.60    1.2339036465  1.2339   0.5293   3.8771   4.4544   0.4787   0.0000
    6.60    1.3339035511  1.3339   0.6813   3.9083   4.4610   0.4787   0.0000
    6.60    1.4339035749  1.4339   0.8211   3.9396   4.4777   0.4787   0.0000
    6.60    1.5339035988  1.5339   0.9442   3.9675   4.4955   0.4787   0.0000
    6.60    1.6169518232  1.6169   1.0445   3.9896   4.5066   0.4787   0.0000
    6.60    1.7000000477  1.7000   1.1348   4.0093   4.5167   0.4787   0.0000
    6.60    1.7830481529  1.7830   1.2188   4.0260   4.5204   0.4787   0.0000
    6.60    1.8999999762  1.9000   1.3241   4.0488   4.5337   0.4787   0.0000
    6.60    2.0000000000  2.0000   1.4123   4.0662   4.5374   0.4787   0.0000
    6.60    2.2000000477  2.2000   1.5638   4.0954   4.5442   0.4787   0.0000
    6.60    2.5000000000  2.5000   1.7662   4.1326   4.5460   0.4787   0.0000
    6.60    3.0000000000  3.0000   2.0455   4.1798   4.5350   0.4787   0.0000
    6.60    3.5000000000  3.5000   2.2753   4.2169   4.5205   0.4787   0.0000
    6.60    4.0000000000  4.0000   2.4715   4.2477   4.5054   0.4787   0.0000
    6.60    4.5000000000  4.5000   2.6390   4.2733   4.4913   0.4787   0.0000
    6.60    5.0000000000  5.0000   2.7860   4.2960   4.4809   0.4787   0.0000
    6.60    5.5777673721  5.5778   2.9413   4.3187   4.4640   0.4787   0.0000
    6.60    6.0000000000  6.0000   3.0460   4.3344   4.4539   0.4787   0.0000
    6.60    7.0000000000  7.0000   3.2659   4.3671   4.4315   0.4787   0.0000
    6.60    8.8304824829  8.8305   3.5979   4.4150   4.3923   0.4787   0.0000
    6.60   11.3219280243 11.3219   3.9435   4.4613   4.3396   0.4787   0.0000
    6.60   11.8327064514 11.8304   4.0039   4.4689   4.3289   0.4787   0.0000
    6.60   13.9828920364 13.9658   4.2376   4.4995   4.2893   0.4787   0.0000
    6.60   18.3048210144 18.2697   4.5983   4.5434   4.2210   0.4787   0.0000
    6.60   18.8742008209 18.8340   4.6367   4.5476   4.2127   0.4787   0.0000
    6.60   25.7721824646 25.5957   5.0394   4.5839   4.0885   0.4787   0.0000
    6.60   30.0000000000 29.6748   5.2434   4.5944   3.9907   0.4787   0.0000
    6.60   34.1537208557 33.5708   5.3862   4.5944   3.9013   0.4787   0.0000
    6.60   37.7935752869 36.9131   5.4985   4.5882   3.8054   0.4787   0.0000
    6.60   40.0000000000 38.8892   5.5618   4.5801   3.7324   0.4787   0.0000
    6.60   40.1310348511 39.0075   5.5650   4.5797   3.7288   0.4787   0.0000
    6.60   42.7149963379 41.3149   5.6262   4.5682   3.6468   0.4787   0.0000
    6.60   44.9902839661 43.3239   5.6768   4.5569   3.5714   0.4787   0.0000
    6.60   47.0097541809 45.0341   5.7200   4.5396   3.4759   0.4787   0.0000
    6.60   48.6594238281 46.3968   5.7538   4.5230   3.3885   0.4787   0.0000
    6.60   50.0139350891 47.5010   5.7806   4.5082   3.3130   0.4787   0.0000
    6.60   51.2480697632 48.4950   5.8043   4.4938   3.2408   0.4787   0.0000
    6.60   52.3250961304 49.3504   5.8244   4.4804   3.1745   0.4787   0.0000
    6.60   53.3357887268 50.1012   5.8430   4.4619   3.0882   0.4787   0.0000
    6.60   54.2067184448 50.7200   5.8588   4.4434   3.0039   0.4787   0.0000
    6.60   55.0190963745 51.2690   5.8733   4.4246   2.9188   0.4787   0.0000
    6.60   55.6952819824 51.6982   5.8851   4.4072   2.8411   0.4787   0.0000
    6.60   56.3316459656 51.0949   5.8943   4.3467   2.5850   0.4787   0.0000
    6.60   56.8586311340 49.4904   5.8998   4.2506   2.1810   0.4787   0.0000
    6.60   57.3565559387 47.5326   5.9037   4.1460   1.7414   0.4787   0.0000
    6.60   57.8122673035 44.6581   5.9070   3.9906   1.0893   0.4787   0.0000
    6.60   58.1988983154 42.0576   5.9112   3.8502   0.4974   0.4787   0.0000
    6.60   59.1921691895 39.3531   5.9457   4.4471   2.8215   0.4787   0.0000
    6.60   59.2666816711 39.3112   5.9596   4.4684   2.8924   0.4787   0.0000
    6.60   59.3075637817 39.2844   5.9735   4.4111   2.6491   0.4787   0.0000
    6.60   59.3250465393 39.2560   5.9770   4.3448   2.3801   0.4787   0.0000
    6.60   59.3353271484 39.1889   5.9801   4.2839   2.1327   0.4787   0.0000
    6.60   59.3435554504 39.1082   5.9829   4.2172   1.8623   0.4787   0.0000
    6.60   59.3504943848 39.0170   5.9860   4.1330   1.5212   0.4787   0.0000
    6.60   59.3553848267 38.9351   5.9884   4.0503   1.1872   0.4787   0.0000
    6.60   59.3607826233 38.8295   5.9908   3.9740   0.8785   0.4787   0.0000
    6.60   59.3664321899 38.7561   5.9925   3.9362   0.7248   0.4787   0.0000
