#
# log(age)    Mini       Mact  logl  logt  logg  C/O  Phase
    6.60    0.1500000060  0.1500  -2.4002   3.5584   5.1938   0.4787   0.0000
    6.60    0.2000000030  0.2000  -2.0997   3.5865   5.1309   0.4787   0.0000
    6.60    0.2500000000  0.2500  -1.9066   3.5991   5.0851   0.4787   0.0000
    6.60    0.3000000119  0.3000  -1.7539   3.6092   5.0518   0.4787   0.0000
    6.60    0.3499999940  0.3500  -1.6283   3.6171   5.0248   0.4787   0.0000
    6.60    0.4000000060  0.4000  -1.4837   3.6224   4.9595   0.4787   0.0000
    6.60    0.4499999881  0.4500  -1.3712   3.6294   4.9259   0.4787   0.0000
    6.60    0.5000000000  0.5000  -1.2420   3.6380   4.8769   0.4787   0.0000
    6.60    0.5500000119  0.5500  -1.1005   3.6491   4.8212   0.4787   0.0000
    6.60    0.6000000238  0.6000  -0.9576   3.6623   4.7689   0.4787   0.0000
    6.60    0.6999999881  0.7000  -0.6601   3.7016   4.6956   0.4787   0.0000
    6.60    0.8000000119  0.8000  -0.3880   3.7430   4.6470   0.4787   0.0000
    6.60    0.8999999762  0.9000  -0.1496   3.7752   4.5888   0.4787   0.0000
    6.60    1.0018262863  1.0018   0.0765   3.8023   4.5174   0.4787   0.0000
    6.60    1.1018263102  1.1018   0.2766   3.8268   4.4566   0.4787   0.0000
    6.60    1.2018263340  1.2018   0.4529   3.8514   4.4164   0.4787   0.0000
    6.60    1.3018262386  1.3018   0.6119   3.8824   4.4161   0.4787   0.0000
    6.60    1.4018262625  1.4018   0.7551   3.9147   4.4344   0.4787   0.0000
    6.60    1.5018262863  1.5018   0.8827   3.9436   4.4525   0.4787   0.0000
    6.60    1.6009131670  1.6009   1.0031   3.9710   4.4693   0.4787   0.0000
    6.60    1.7000000477  1.7000   1.1129   3.9944   4.4794   0.4787   0.0000
    6.60    1.7990868092  1.7991   1.2125   4.0143   4.4838   0.4787   0.0000
    6.60    1.8999999762  1.9000   1.3032   4.0334   4.4932   0.4787   0.0000
    6.60    2.0000000000  2.0000   1.3927   4.0510   4.4962   0.4787   0.0000
    6.60    2.2000000477  2.2000   1.5446   4.0803   4.5030   0.4787   0.0000
    6.60    2.5000000000  2.5000   1.7483   4.1177   4.5043   0.4787   0.0000
    6.60    3.0000000000  3.0000   2.0309   4.1659   4.4939   0.4787   0.0000
    6.60    3.5000000000  3.5000   2.2626   4.2040   4.4813   0.4787   0.0000
    6.60    4.0000000000  4.0000   2.4620   4.2360   4.4680   0.4787   0.0000
    6.60    4.5000000000  4.5000   2.6301   4.2620   4.4553   0.4787   0.0000
    6.60    5.0000000000  5.0000   2.7786   4.2857   4.4473   0.4787   0.0000
    6.60    5.6228661537  5.6229   2.9473   4.3107   4.4296   0.4787   0.0000
    6.60    6.0000000000  6.0000   3.0416   4.3250   4.4203   0.4787   0.0000
    6.60    7.0000000000  7.0000   3.2633   4.3581   4.3982   0.4787   0.0000
    6.60    8.9908685684  8.9909   3.6236   4.4088   4.3493   0.4787   0.0000
    6.60   11.5072021484 11.5072   3.9730   4.4552   4.2930   0.4787   0.0000
    6.60   11.9634742737 11.9635   4.0293   4.4627   4.2835   0.4787   0.0000
    6.60   14.9452114105 14.9165   4.3424   4.5032   4.2283   0.4787   0.0000
    6.60   18.3936481476 18.3445   4.6212   4.5363   4.1714   0.4787   0.0000
    6.60   19.9086856842 19.8484   4.7315   4.5475   4.1404   0.4787   0.0000
    6.60   24.8413391113 24.6619   5.0047   4.5706   4.0536   0.4787   0.0000
    6.60   30.0000000000 29.5954   5.2437   4.5804   3.9332   0.4787   0.0000
    6.60   32.8975257874 32.2810   5.3435   4.5802   3.8701   0.4787   0.0000
    6.60   36.4589691162 35.5042   5.4552   4.5746   3.7775   0.4787   0.0000
    6.60   39.6114654541 38.2658   5.5464   4.5617   3.6673   0.4787   0.0000
    6.60   40.0000000000 38.5996   5.5571   4.5597   3.6524   0.4787   0.0000
    6.60   40.9373703003 39.4164   5.5794   4.5556   3.6226   0.4787   0.0000
