# log(age)    Mini       Mact  logl  logt  logg  Composition  Phase
    5.50    0.080000   0.0800  -3.6100   3.3644   5.3500   0.4787   0.0000
    5.50    0.090000   0.0900  -3.2700   3.4219   5.2920   0.4787   0.0000
    5.50    0.100000   0.1000  -3.0700   3.4492   5.2510   0.4787   0.0000
    5.50    0.110000   0.1100  -2.9300   3.4655   5.2180   0.4787   0.0000
    5.50    0.130000   0.1300  -2.7300   3.4852   5.1690   0.4787   0.0000
    5.50    0.150000   0.1500  -2.4648   3.5356   5.1673   0.4787   0.0000
    5.50    0.200000   0.2000  -2.1885   3.5570   5.1017   0.4787   0.0000
    5.50    0.250000   0.2500  -2.0002   3.5686   5.0565   0.4787   0.0000
    5.50    0.300000   0.3000  -1.8504   3.5778   5.0226   0.4787   0.0000
    5.50    0.350000   0.3500  -1.7239   3.5858   4.9949   0.4787   0.0000
    5.50    0.400000   0.4000  -1.5793   3.5929   4.9370   0.4787   0.0000
    5.50    0.450000   0.4500  -1.4585   3.6018   4.9031   0.4787   0.0000
    5.50    0.500000   0.5000  -1.3301   3.6125   4.8629   0.4787   0.0000
    5.50    0.550000   0.5500  -1.1936   3.6245   4.8161   0.4787   0.0000
    5.50    0.600000   0.6000  -1.0635   3.6366   4.7721   0.4787   0.0000
    5.50    0.700000   0.7000  -0.7872   3.6686   4.6907   0.4787   0.0000
    5.50    0.821078   0.8211  -0.4621   3.7179   4.6321   0.4787   0.0000
    5.50    0.963233   0.9632  -0.1355   3.7629   4.5547   0.4787   0.0000
    5.50    1.378922   1.3789   0.6284   3.8652   4.3559   0.4787   0.0000
    5.50    1.478922   1.4789   0.7657   3.8925   4.3581   0.4787   0.0000
    5.50    1.600000   1.6000   0.9131   3.9237   4.3699   0.4787   0.0000
    5.50    1.721078   1.7211   1.0479   3.9519   4.3795   0.4787   0.0000
    5.50    1.831617   1.8316   1.1524   3.9735   4.3887   0.4787   0.0000
    5.50    2.003300   2.0032   1.2804   3.9991   4.4065   0.0000   0.0000
    5.50    2.050700   2.0507   1.3206   4.0068   4.4073   0.0000   0.0000
    5.50    2.100000   2.1000   1.3608   4.0143   4.4074   0.0000   0.0000
    5.50    2.150400   2.1504   1.4010   4.0218   4.4075   0.0000   0.0000
    5.50    2.202000   2.2020   1.4412   4.0293   4.4076   0.0000   0.0000
    5.50    2.254900   2.2549   1.4815   4.0368   4.4077   0.0000   0.0000
    5.50    2.309000   2.3090   1.5217   4.0443   4.4078   0.0000   0.0000
    5.50    2.364600   2.3646   1.5619   4.0519   4.4080   0.0000   0.0000
    5.50    2.421300   2.4213   1.6021   4.0593   4.4081   0.0000   0.0000
    5.50    2.479900   2.4799   1.6423   4.0668   4.4082   0.0000   0.0000
    5.50    2.540100   2.5401   1.6825   4.0742   4.4079   0.0000   0.0000
    5.50    2.602700   2.6027   1.7227   4.0813   4.4066   0.0000   0.0000
    5.50    2.666900   2.6669   1.7629   4.0884   4.4052   0.0000   0.0000
    5.50    2.732700   2.7327   1.8031   4.0955   4.4039   0.0000   0.0000
    5.50    2.799900   2.7999   1.8433   4.1026   4.4027   0.0000   0.0000
    5.50    2.868900   2.8689   1.8835   4.1096   4.4013   0.0000   0.0000
    5.50    2.939800   2.9398   1.9237   4.1166   4.3999   0.0000   0.0000
    5.50    3.012600   3.0126   1.9638   4.1237   4.3985   0.0000   0.0000
    5.50    3.088200   3.0882   2.0040   4.1305   4.3961   0.0000   0.0000
    5.50    3.166100   3.1661   2.0443   4.1372   4.3936   0.0000   0.0000
    5.50    3.245700   3.2457   2.0844   4.1439   4.3912   0.0000   0.0000
    5.50    3.327600   3.3276   2.1246   4.1506   4.3887   0.0000   0.0000
    5.50    3.411400   3.4114   2.1648   4.1574   4.3862   0.0000   0.0000
    5.50    3.497400   3.4974   2.2051   4.1641   4.3837   0.0000   0.0000
    5.50    3.585500   3.5855   2.2453   4.1708   4.3812   0.0000   0.0000
    5.50    3.675800   3.6758   2.2855   4.1775   4.3787   0.0000   0.0000
    5.50    3.768400   3.7684   2.3257   4.1842   4.3762   0.0000   0.0000
    5.50    3.863400   3.8634   2.3659   4.1910   4.3737   0.0000   0.0000
    5.50    3.961300   3.9613   2.4060   4.1977   4.3713   0.0000   0.0000
    5.50    4.064100   4.0641   2.4462   4.2046   4.3698   0.0000   0.0000
    5.50    4.173900   4.1739   2.4863   4.2119   4.3706   0.0000   0.0000
    5.50    4.287000   4.2870   2.5265   4.2192   4.3713   0.0000   0.0000
    5.50    4.403300   4.4033   2.5668   4.2266   4.3720   0.0000   0.0000
    5.50    4.522600   4.5226   2.6070   4.2339   4.3728   0.0000   0.0000
    5.50    4.645000   4.6450   2.6472   4.2412   4.3735   0.0000   0.0000
    5.50    4.770700   4.7707   2.6873   4.2485   4.3742   0.0000   0.0000
    5.50    4.899900   4.8999   2.7275   4.2558   4.3750   0.0000   0.0000
    5.50    5.033600   5.0336   2.7677   4.2631   4.3752   0.0000   0.0000
    5.50    5.172900   5.1729   2.8079   4.2696   4.3730   0.0000   0.0000
    5.50    5.316000   5.3160   2.8482   4.2761   4.3706   0.0000   0.0000
    5.50    5.463000   5.4630   2.8884   4.2827   4.3683   0.0000   0.0000
    5.50    5.614100   5.6141   2.9286   4.2891   4.3660   0.0000   0.0000
    5.50    5.769200   5.7692   2.9688   4.2956   4.3637   0.0000   0.0000
    5.50    5.928700   5.9287   3.0090   4.3022   4.3614   0.0000   0.0000
    5.50    6.092800   6.0928   3.0492   4.3087   4.3591   0.0000   0.0000
    5.50    6.261100   6.2611   3.0894   4.3152   4.3568   0.0000   0.0000
    5.50    6.434100   6.4341   3.1296   4.3217   4.3544   0.0000   0.0000
    5.50    6.612200   6.6122   3.1698   4.3283   4.3522   0.0000   0.0000
    5.50    6.795200   6.7952   3.2101   4.3347   4.3498   0.0000   0.0000
    5.50    6.982900   6.9829   3.2502   4.3412   4.3476   0.0000   0.0000
    5.50    7.186000   7.1860   3.2904   4.3479   4.3463   0.0000   0.0000
    5.50    7.396000   7.3960   3.3307   4.3545   4.3452   0.0000   0.0000
    5.50    7.611900   7.6119   3.3708   4.3612   4.3441   0.0000   0.0000
    5.50    7.834200   7.8342   3.4110   4.3678   4.3430   0.0000   0.0000
    5.50    8.061800   8.0618   3.4512   4.3744   4.3416   0.0000   0.0000
    5.50    8.295600   8.2956   3.4913   4.3810   4.3400   0.0000   0.0000
    5.50    8.536600   8.5366   3.5316   4.3875   4.3385   0.0000   0.0000
    5.50    8.783700   8.7837   3.5717   4.3941   4.3369   0.0000   0.0000
    5.50    9.038300   9.0383   3.6120   4.4006   4.3352   0.0000   0.0000
    5.50    9.302900   9.3028   3.6522   4.4070   4.3334   0.0000   0.0000
    5.50    9.574700   9.5747   3.6924   4.4135   4.3317   0.0000   0.0000
    5.50    9.854300   9.8542   3.7325   4.4200   4.3299   0.0000   0.0000
    5.50   10.148200  10.1481   3.7727   4.4264   4.3278   0.0000   0.0000
    5.50   10.457000  10.4568   3.8129   4.4326   4.3254   0.0000   0.0000
    5.50   10.775600  10.7754   3.8531   4.4387   4.3230   0.0000   0.0000
    5.50   11.103900  11.1035   3.8933   4.4449   4.3206   0.0000   0.0000
    5.50   11.442000  11.4416   3.9336   4.4512   4.3183   0.0000   0.0000
    5.50   11.790300  11.7897   3.9738   4.4574   4.3158   0.0000   0.0000
    5.50   12.150900  12.1501   4.0139   4.4635   4.3131   0.0000   0.0000
    5.50   12.528100  12.5269   4.0541   4.4693   4.3098   0.0000   0.0000
    5.50   12.916800  12.9150   4.0943   4.4753   4.3066   0.0000   0.0000
    5.50   13.318000  13.3156   4.1344   4.4812   4.3033   0.0000   0.0000
    5.50   13.731500  13.7282   4.1746   4.4871   4.3000   0.0000   0.0000
    5.50   14.157400  14.1533   4.2148   4.4930   4.2967   0.0000   0.0000
