# log(age)    Mini       Mact  logl  logt  logg  Composition  Phase
    5.50    0.080000   0.0800  -3.6100   3.3644   5.3500   0.4787   0.0000
    5.50    0.090000   0.0900  -3.2700   3.4219   5.2920   0.4787   0.0000
    5.50    0.100000   0.1000  -3.0700   3.4492   5.2510   0.4787   0.0000
    5.50    0.110000   0.1100  -2.9300   3.4655   5.2180   0.4787   0.0000
    5.50    0.130000   0.1300  -2.7300   3.4852   5.1690   0.4787   0.0000
    5.50    0.150000   0.1500  -2.3438   3.5777   5.2147   0.4787   0.0000
    5.50    0.200000   0.2000  -2.0604   3.5999   5.1450   0.4787   0.0000
    5.50    0.250000   0.2500  -1.8709   3.6112   5.0976   0.4787   0.0000
    5.50    0.300000   0.3000  -1.7223   3.6198   5.0626   0.4787   0.0000
    5.50    0.350000   0.3500  -1.5988   3.6272   5.0357   0.4787   0.0000
    5.50    0.400000   0.4000  -1.4513   3.6347   4.9761   0.4787   0.0000
    5.50    0.450000   0.4500  -1.3248   3.6435   4.9360   0.4787   0.0000
    5.50    0.500000   0.5000  -1.1882   3.6540   4.8871   0.4787   0.0000
    5.50    0.550000   0.5500  -1.0369   3.6694   4.8388   0.4787   0.0000
    5.50    0.600000   0.6000  -0.8790   3.6889   4.7968   0.4787   0.0000
    5.50    0.700000   0.7000  -0.5702   3.7336   4.7337   0.4787   0.0000
    5.50    0.800000   0.8000  -0.2946   3.7734   4.6753   0.4787   0.0000
    5.50    0.900000   0.9000  -0.0489   3.8039   4.6028   0.4787   0.0000
    5.50    1.000000   1.0000   0.1620   3.8313   4.5473   0.4787   0.0000
    5.50    1.100000   1.1000   0.3578   3.8584   4.5014   0.4787   0.0000
    5.50    1.200000   1.2000   0.5294   3.8939   4.5094   0.4787   0.0000
    5.50    1.300000   1.3000   0.6865   3.9300   4.5316   0.4787   0.0000
    5.50    1.400000   1.4000   0.8243   3.9617   4.5527   0.4787   0.0000
    5.50    1.500000   1.5000   0.9572   3.9908   4.5662   0.4787   0.0000
    5.50    1.600000   1.6000   1.0709   4.0166   4.5837   0.4787   0.0000
    5.50    1.650000   1.6500   1.1298   4.0280   4.5835   0.4787   0.0000
    5.50    1.700000   1.7000   1.1801   4.0398   4.5936   0.4787   0.0000
    5.50    1.750000   1.7500   1.2317   4.0501   4.5958   0.4787   0.0000
    5.50    1.800000   1.8000   1.2752   4.0612   4.6089   0.4787   0.0000
    5.50    1.900000   1.9000   1.3671   4.0803   4.6170   0.4787   0.0000
    5.50    2.005000   2.0050   1.4151   4.0867   4.6227   0.4787   0.0000
    5.50    2.055300   2.0553   1.4553   4.0939   4.6221   0.4787   0.0000
    5.50    2.106900   2.1069   1.4955   4.1012   4.6215   0.4787   0.0000
    5.50    2.159700   2.1597   1.5357   4.1084   4.6210   0.4787   0.0000
    5.50    2.213900   2.2139   1.5759   4.1156   4.6204   0.4787   0.0000
    5.50    2.269500   2.2695   1.6161   4.1228   4.6198   0.4787   0.0000
    5.50    2.326400   2.3264   1.6563   4.1300   4.6193   0.4787   0.0000
    5.50    2.384800   2.3848   1.6965   4.1373   4.6187   0.4787   0.0000
    5.50    2.444600   2.4446   1.7367   4.1445   4.6182   0.4787   0.0000
    5.50    2.506200   2.5062   1.7768   4.1518   4.6179   0.4787   0.0000
    5.50    2.571800   2.5718   1.8171   4.1597   4.6206   0.4787   0.0000
    5.50    2.639100   2.6391   1.8573   4.1676   4.6233   0.4787   0.0000
    5.50    2.708000   2.7080   1.8975   4.1756   4.6260   0.4787   0.0000
    5.50    2.778700   2.7787   1.9377   4.1835   4.6288   0.4787   0.0000
    5.50    2.851400   2.8514   1.9779   4.1914   4.6315   0.4787   0.0000
    5.50    2.926100   2.9261   2.0182   4.1993   4.6342   0.4787   0.0000
    5.50    3.002700   3.0027   2.0583   4.2072   4.6367   0.4787   0.0000
    5.50    3.083500   3.0835   2.0985   4.2136   4.6336   0.4787   0.0000
    5.50    3.166500   3.1665   2.1387   4.2200   4.6304   0.4787   0.0000
    5.50    3.251700   3.2517   2.1788   4.2263   4.6273   0.4787   0.0000
    5.50    3.339200   3.3392   2.2190   4.2327   4.6241   0.4787   0.0000
    5.50    3.429000   3.4290   2.2591   4.2391   4.6210   0.4787   0.0000
    5.50    3.521300   3.5213   2.2993   4.2454   4.6179   0.4787   0.0000
    5.50    3.616100   3.6161   2.3394   4.2518   4.6147   0.4787   0.0000
    5.50    3.713400   3.7133   2.3796   4.2582   4.6116   0.4787   0.0000
    5.50    3.813300   3.8133   2.4197   4.2645   4.6084   0.4787   0.0000
    5.50    3.916000   3.9160   2.4599   4.2709   4.6053   0.4787   0.0000
    5.50    4.022300   4.0223   2.5001   4.2772   4.6020   0.4787   0.0000
    5.50    4.134900   4.1349   2.5403   4.2833   4.5980   0.4787   0.0000
    5.50    4.250600   4.2506   2.5805   4.2893   4.5940   0.4787   0.0000
    5.50    4.369500   4.3695   2.6207   4.2954   4.5901   0.4787   0.0000
    5.50    4.491800   4.4918   2.6609   4.3015   4.5861   0.4787   0.0000
    5.50    4.617400   4.6174   2.7010   4.3075   4.5821   0.4787   0.0000
    5.50    4.746500   4.7465   2.7412   4.3136   4.5782   0.4787   0.0000
    5.50    4.879500   4.8795   2.7815   4.3196   4.5742   0.4787   0.0000
    5.50    5.016900   5.0169   2.8217   4.3257   4.5703   0.4787   0.0000
    5.50    5.164900   5.1649   2.8618   4.3318   4.5673   0.4787   0.0000
    5.50    5.317400   5.3174   2.9021   4.3380   4.5643   0.4787   0.0000
    5.50    5.474200   5.4742   2.9422   4.3441   4.5613   0.4787   0.0000
    5.50    5.635600   5.6356   2.9824   4.3503   4.5583   0.4787   0.0000
    5.50    5.802000   5.8020   3.0226   4.3564   4.5553   0.4787   0.0000
    5.50    5.973500   5.9735   3.0628   4.3625   4.5522   0.4787   0.0000
    5.50    6.149600   6.1496   3.1030   4.3687   4.5492   0.4787   0.0000
    5.50    6.331200   6.3312   3.1432   4.3748   4.5462   0.4787   0.0000
    5.50    6.518200   6.5182   3.1834   4.3810   4.5432   0.4787   0.0000
    5.50    6.710400   6.7104   3.2236   4.3871   4.5402   0.4787   0.0000
    5.50    6.908400   6.9084   3.2638   4.3932   4.5372   0.4787   0.0000
    5.50    7.116100   7.1161   3.3041   4.3994   4.5344   0.4787   0.0000
    5.50    7.332100   7.3321   3.3443   4.4056   4.5319   0.4787   0.0000
    5.50    7.553100   7.5531   3.3845   4.4117   4.5292   0.4787   0.0000
    5.50    7.780700   7.7807   3.4246   4.4178   4.5264   0.4787   0.0000
    5.50    8.015200   8.0152   3.4648   4.4239   4.5236   0.4787   0.0000
    5.50    8.256900   8.2568   3.5050   4.4301   4.5208   0.4787   0.0000
    5.50    8.505800   8.5058   3.5451   4.4362   4.5180   0.4787   0.0000
    5.50    8.762300   8.7623   3.5853   4.4423   4.5151   0.4787   0.0000
    5.50    9.027300   9.0272   3.6255   4.4484   4.5122   0.4787   0.0000
    5.50    9.309200   9.3092   3.6657   4.4540   4.5079   0.4787   0.0000
    5.50    9.599700   9.5996   3.7059   4.4597   4.5037   0.4787   0.0000
    5.50    9.899700   9.8996   3.7462   4.4653   4.4994   0.4787   0.0000
    5.50   10.208800  10.2087   3.7864   4.4710   4.4952   0.4787   0.0000
    5.50   10.527300  10.5272   3.8266   4.4766   4.4909   0.4787   0.0000
    5.50   10.855400  10.8553   3.8668   4.4823   4.4866   0.4787   0.0000
    5.50   11.193500  11.1933   3.9069   4.4879   4.4823   0.4787   0.0000
    5.50   11.542700  11.5425   3.9471   4.4935   4.4780   0.4787   0.0000
    5.50   11.902500  11.9022   3.9873   4.4992   4.4737   0.4787   0.0000
    5.50   12.287300  12.2870   4.0276   4.5048   4.4697   0.4787   0.0000
    5.50   12.687700  12.6873   4.0678   4.5104   4.4659   0.4787   0.0000
