#
# log(age)    Mini       Mact  logl  logt  logg  C/O  Phase
    6.60   56.6124343872 35.1977   5.9528   3.8356   0.3199   0.4787   0.0000
    6.60   56.6180305481 35.0956   5.9553   3.8285   0.2879   0.4787   0.0000
    6.60   56.6255378723 34.9587   5.9587   3.8190   0.2448   0.4787   0.0000
    6.60   56.6347961426 34.8353   5.9626   3.8144   0.2211   0.4787   0.0000
    6.60   56.6513557434 34.6180   5.9692   3.8104   0.1958   0.4787   0.0000
    6.60   56.6835327148 34.1481   5.9818   3.8023   0.1448   0.4787   0.0000
    6.60   56.7252998352 33.5949   5.9849   3.8055   0.1475   0.4787   0.0000
    6.60   56.7664833069 33.0502   5.9879   3.8093   0.1522   0.4787   0.0000
    6.60   56.7819061279 32.8417   5.9891   3.8112   0.1561   0.4787   0.0000
    6.60   56.8060035706 32.5246   5.9908   3.8137   0.1600   0.4787   0.0000
    6.60   56.8256835938 32.2679   5.9918   3.8159   0.1645   0.4787   0.0000
    6.60   56.8385963440 32.0986   5.9919   3.8175   0.1686   0.4787   0.0000
    6.60   56.8496017456 31.9581   5.9924   3.8298   0.2152   0.4787   0.0000
    6.60   56.8534049988 31.9084   5.9923   3.8311   0.2199   0.4787   0.0000
    6.60   56.8650588989 31.7795   5.9925   3.8329   0.2252   0.4787   0.0000
    6.60   56.8962020874 31.4345   5.9930   3.8362   0.2334   0.4787   0.0000
    6.60   56.9581680298 30.8630   5.9971   4.0965   1.2624   0.4787   0.0000
    6.60   57.0283126831 30.4936   6.0001   4.1309   1.3916   0.4787   0.0000
    6.60   57.0836524963 30.2147   6.0022   4.1407   1.4249   0.4787   0.0000
    6.60   57.1194648743 30.0783   6.0013   4.1580   1.4930   0.4787   0.0000
    6.60   57.2054977417 29.7527   5.9987   4.2013   1.6640   0.4787   0.0000
    6.60   57.3438110352 29.4412   5.9820   4.3313   2.1960   0.4787   0.0000
    6.60   57.4806861877 29.1295   5.9651   4.4607   2.7260   0.4787   0.0000
