#
# log(age)    Mini       Mact  logl  logt  logg  C/O  Phase
    6.60    0.1500000060  0.1500  -2.5228   3.5108   5.1261   0.4787   0.0000
    6.60    0.2000000030  0.2000  -2.2579   3.5306   5.0653   0.4787   0.0000
    6.60    0.2500000000  0.2500  -2.0763   3.5408   5.0214   0.4787   0.0000
    6.60    0.3000000119  0.3000  -1.9241   3.5512   4.9900   0.4787   0.0000
    6.60    0.3499999940  0.3500  -1.7864   3.5610   4.9585   0.4787   0.0000
    6.60    0.4000000060  0.4000  -1.6526   3.5697   4.9174   0.4787   0.0000
    6.60    0.4499999881  0.4500  -1.5270   3.5790   4.8802   0.4787   0.0000
    6.60    0.5000000000  0.5000  -1.4066   3.5893   4.8468   0.4787   0.0000
    6.60    0.5500000119  0.5500  -1.2833   3.6003   4.8088   0.4787   0.0000
    6.60    0.6000000238  0.6000  -1.1658   3.6141   4.7843   0.4787   0.0000
    6.60    0.6999999881  0.7000  -0.9129   3.6403   4.7031   0.4787   0.0000
    6.60    0.8000000119  0.8000  -0.6613   3.6697   4.6272   0.4787   0.0000
    6.60    0.8999999762  0.9000  -0.4200   3.7040   4.5743   0.4787   0.0000
    6.60    1.0000000000  1.0000  -0.1909   3.7354   4.5166   0.4787   0.0000
    6.60    1.1000000238  1.1000   0.0060   3.7595   4.4575   0.4787   0.0000
    6.60    1.2000000477  1.2000   0.1944   3.7805   4.3906   0.4787   0.0000
    6.60    1.2999999523  1.3000   0.3747   3.8028   4.3344   0.4787   0.0000
    6.60    1.3999999762  1.4000   0.5250   3.8210   4.2891   0.4787   0.0000
    6.60    1.5000000000  1.5000   0.6576   3.8392   4.2591   0.4787   0.0000
    6.60    1.6000000238  1.6000   0.7824   3.8593   4.2428   0.4787   0.0000
    6.60    1.7000000477  1.7000   0.9003   3.8818   4.2414   0.4787   0.0000
    6.60    1.7999999523  1.8000   1.0139   3.9028   4.2366   0.4787   0.0000
    6.60    1.8999999762  1.9000   1.0992   3.9219   4.2511   0.4787   0.0000
    6.60    2.0000000000  2.0000   1.1873   3.9391   4.2541   0.4787   0.0000
    6.60    2.0999999046  2.1000   1.2711   3.9555   4.2569   0.4787   0.0000
    6.60    2.2000000477  2.2000   1.3512   3.9703   4.2563   0.4787   0.0000
    6.60    2.2999999523  2.3000   1.4322   3.9852   4.2544   0.4787   0.0000
    6.60    2.5000000000  2.5000   1.5719   4.0113   4.2551   0.4787   0.0000
    6.60    3.0000000000  3.0000   1.8816   4.0677   4.2501   0.4787   0.0000
    6.60    3.5000000000  3.5000   2.1355   4.1126   4.2428   0.4787   0.0000
    6.60    4.0000000000  4.0000   2.3498   4.1514   4.2419   0.4787   0.0000
    6.60    4.5000000000  4.5000   2.5408   4.1844   4.2339   0.4787   0.0000
    6.60    5.0000000000  5.0000   2.7164   4.2139   4.2221   0.4787   0.0000
    6.60    5.6980743408  5.6981   2.9224   4.2483   4.2105   0.4787   0.0000
    6.60    6.0000000000  6.0000   3.0040   4.2619   4.2056   0.4787   0.0000
    6.60    7.0000000000  7.0000   3.2498   4.3016   4.1856   0.4787   0.0000
    6.60    9.0000000000  9.0000   3.6352   4.3703   4.1842   0.4787   0.0000
    6.60   12.0000000000 12.0000   4.0676   4.4316   4.1220   0.4787   0.0000
    6.60   13.0872526169 13.0755   4.1930   4.4479   4.0992   0.4787   0.0000
    6.60   15.0000000000 14.9573   4.3970   4.4727   4.0528   0.4787   0.0000
    6.60   19.6199378967 19.5149   4.7705   4.5114   3.9495   0.4787   0.0000
    6.60   20.0000000000 19.8839   4.7982   4.5135   3.9382   0.4787   0.0000
    6.60   25.8010158539 25.1161   5.1082   4.5274   3.7853   0.4787   0.0000
    6.60   30.0000000000 28.5460   5.2932   4.5201   3.6266   0.4787   0.0000
    6.60   30.6300392151 29.0279   5.3147   4.5182   3.6049   0.4787   0.0000
    6.60   36.4752960205 32.9317   5.4967   4.4664   3.2705   0.4787   0.0000
    6.60   40.0000000000 34.6173   5.5927   4.3825   2.8607   0.4787   0.0000
    6.60   42.0425300598 35.5367   5.6402   4.3323   2.6236   0.4787   0.0000
    6.60   44.0552139282 36.0817   5.6859   4.2237   2.1502   0.4787   0.0000
    6.60   44.5717926025 34.2896   5.6770   4.0766   1.5487   0.4787   0.0000
    6.60   48.3553466797 30.6378   5.7531   4.2728   2.2082   0.4787   0.0000
    6.60   50.3962364197 30.6083   5.7959   4.3421   2.4422   0.4787   0.0000
    6.60   50.7067832947 30.5930   5.8121   4.3797   2.5762   0.4787   0.0000
    6.60   50.7805290222 30.5603   5.8270   4.4234   2.7357   0.4787   0.0000
    6.60   50.8108291626 30.5395   5.8414   4.4762   2.9322   0.4787   0.0000
    6.60   50.8279495239 30.5256   5.8475   4.4373   2.7704   0.4787   0.0000
    6.60   50.8339958191 30.5207   5.8510   4.3937   2.5924   0.4787   0.0000
    6.60   50.8390388489 30.5166   5.8550   4.3426   2.3841   0.4787   0.0000
    6.60   50.8413085938 30.5148   5.8575   4.3118   2.2581   0.4787   0.0000
    6.60   50.8438262939 30.5128   5.8605   4.2750   2.1078   0.4787   0.0000
    6.60   50.8463478088 30.5009   5.8633   4.2443   1.9820   0.4787   0.0000
    6.60   50.8488693237 30.4492   5.8659   4.2142   1.8583   0.4787   0.0000
    6.60   50.8513908386 30.3975   5.8683   4.1816   1.7250   0.4787   0.0000
    6.60   50.8539123535 30.3438   5.8710   4.1406   1.5575   0.4787   0.0000
    6.60   50.8564338684 30.2815   5.8740   4.0894   1.3487   0.4787   0.0000
    6.60   50.8587036133 30.2033   5.8766   4.0339   1.1231   0.4787   0.0000
    6.60   50.8609733582 30.1229   5.8803   4.0168   1.0499   0.4787   0.0000
    6.60   50.8629913330 30.0533   5.8814   3.9605   0.8225   0.4787   0.0000
    6.60   50.8650131226 29.9725   5.8829   3.9348   0.7168   0.4787   0.0000
    6.60   50.8665237427 29.9122   5.8843   3.9203   0.6567   0.4787   0.0000
    6.60   50.8672790527 29.8792   5.8864   3.9160   0.6371   0.4787   0.0000
    6.60   50.8682899475 29.8351   5.8892   3.9132   0.6223   0.4787   0.0000
    6.60   50.8693008423 29.7919   5.8915   3.9096   0.6048   0.4787   0.0000
    6.60   50.8700599670 29.7660   5.8919   3.9015   0.5716   0.4787   0.0000
    6.60   50.8710670471 29.7314   5.8924   3.8947   0.5435   0.4787   0.0000
    6.60   50.8728332520 29.6708   5.8935   3.8860   0.5070   0.4787   0.0000
