# log(age)    Mini       Mact  logl  logt  logg  Composition  Phase
    5.50    0.080000   0.0800  -3.6100   3.3644   5.3500   0.4787   0.0000
    5.50    0.090000   0.0900  -3.2700   3.4219   5.2920   0.4787   0.0000
    5.50    0.100000   0.1000  -3.0700   3.4492   5.2510   0.4787   0.0000
    5.50    0.110000   0.1100  -2.9300   3.4655   5.2180   0.4787   0.0000
    5.50    0.130000   0.1300  -2.7300   3.4852   5.1690   0.4787   0.0000
    5.50    0.150000   0.1500  -2.3818   3.5647   5.2006   0.4787   0.0000
    5.50    0.200000   0.2000  -2.0868   3.5909   5.1355   0.4787   0.0000
    5.50    0.250000   0.2500  -1.8949   3.6031   5.0892   0.4787   0.0000
    5.50    0.300000   0.3000  -1.7436   3.6127   5.0553   0.4787   0.0000
    5.50    0.350000   0.3500  -1.6187   3.6204   5.0283   0.4787   0.0000
    5.50    0.400000   0.4000  -1.4731   3.6264   4.9649   0.4787   0.0000
    5.50    0.450000   0.4500  -1.3560   3.6340   4.9292   0.4787   0.0000
    5.50    0.500000   0.5000  -1.2244   3.6432   4.8803   0.4787   0.0000
    5.50    0.550000   0.5500  -1.0797   3.6557   4.8269   0.4787   0.0000
    5.50    0.600000   0.6000  -0.9319   3.6710   4.7780   0.4787   0.0000
    5.50    0.700000   0.7000  -0.6307   3.7121   4.7080   0.4787   0.0000
    5.50    0.800000   0.8000  -0.3575   3.7529   4.6563   0.4787   0.0000
    5.50    0.900000   0.9000  -0.1167   3.7846   4.5934   0.4787   0.0000
    5.50    1.033904   1.0339   0.1684   3.8206   4.5126   0.4787   0.0000
    5.50    1.133904   1.1339   0.3592   3.8487   4.4742   0.4787   0.0000
    5.50    1.233904   1.2339   0.5293   3.8771   4.4544   0.4787   0.0000
    5.50    1.333904   1.3339   0.6813   3.9083   4.4610   0.4787   0.0000
    5.50    1.433904   1.4339   0.8211   3.9396   4.4777   0.4787   0.0000
    5.50    1.533904   1.5339   0.9442   3.9675   4.4955   0.4787   0.0000
    5.50    1.616952   1.6169   1.0445   3.9896   4.5066   0.4787   0.0000
    5.50    1.700000   1.7000   1.1348   4.0093   4.5167   0.4787   0.0000
    5.50    1.783048   1.7830   1.2188   4.0260   4.5204   0.4787   0.0000
    5.50    1.900000   1.9000   1.3241   4.0488   4.5337   0.4787   0.0000
    5.50    2.008570   2.0085   1.3870   4.0586   4.5392   0.4787   0.0000
    5.50    2.058350   2.0584   1.4269   4.0664   4.5407   0.4787   0.0000
    5.50    2.110110   2.1101   1.4672   4.0739   4.5414   0.4787   0.0000
    5.50    2.163160   2.1632   1.5073   4.0814   4.5422   0.4787   0.0000
    5.50    2.217550   2.2176   1.5475   4.0890   4.5428   0.4787   0.0000
    5.50    2.273240   2.2732   1.5877   4.0965   4.5435   0.4787   0.0000
    5.50    2.330400   2.3304   1.6280   4.1040   4.5441   0.4787   0.0000
    5.50    2.389020   2.3890   1.6682   4.1115   4.5449   0.4787   0.0000
    5.50    2.449140   2.4491   1.7084   4.1191   4.5456   0.4787   0.0000
    5.50    2.511090   2.5111   1.7486   4.1265   4.5458   0.4787   0.0000
    5.50    2.575210   2.5752   1.7888   4.1339   4.5461   0.4787   0.0000
    5.50    2.641610   2.6416   1.8290   4.1414   4.5471   0.4787   0.0000
    5.50    2.709740   2.7097   1.8693   4.1490   4.5481   0.4787   0.0000
    5.50    2.779500   2.7795   1.9094   4.1565   4.5492   0.4787   0.0000
    5.50    2.851230   2.8512   1.9496   4.1641   4.5502   0.4787   0.0000
    5.50    2.924690   2.9247   1.9899   4.1716   4.5512   0.4787   0.0000
    5.50    3.000790   3.0008   2.0301   4.1789   4.5515   0.4787   0.0000
    5.50    3.079740   3.0797   2.0703   4.1857   4.5499   0.4787   0.0000
    5.50    3.161440   3.1614   2.1104   4.1922   4.5469   0.4787   0.0000
    5.50    3.245430   3.2454   2.1507   4.1987   4.5439   0.4787   0.0000
    5.50    3.331560   3.3316   2.1909   4.2052   4.5410   0.4787   0.0000
    5.50    3.419830   3.4198   2.2311   4.2116   4.5381   0.4787   0.0000
    5.50    3.510460   3.5105   2.2712   4.2181   4.5351   0.4787   0.0000
    5.50    3.603560   3.6036   2.3114   4.2245   4.5321   0.4787   0.0000
    5.50    3.699190   3.6992   2.3516   4.2310   4.5291   0.4787   0.0000
    5.50    3.797260   3.7973   2.3918   4.2375   4.5261   0.4787   0.0000
    5.50    3.898120   3.8981   2.4320   4.2439   4.5231   0.4787   0.0000
    5.50    4.002380   4.0024   2.4722   4.2504   4.5203   0.4787   0.0000
    5.50    4.112200   4.1122   2.5124   4.2568   4.5177   0.4787   0.0000
    5.50    4.225800   4.2258   2.5525   4.2632   4.5148   0.4787   0.0000
    5.50    4.342490   4.3425   2.5927   4.2696   4.5120   0.4787   0.0000
    5.50    4.462690   4.4627   2.6330   4.2759   4.5093   0.4787   0.0000
    5.50    4.585990   4.5860   2.6731   4.2824   4.5065   0.4787   0.0000
    5.50    4.712790   4.7128   2.7133   4.2887   4.5036   0.4787   0.0000
    5.50    4.843080   4.8431   2.7536   4.2951   4.5009   0.4787   0.0000
    5.50    4.977150   4.9771   2.7938   4.3016   4.4981   0.4787   0.0000
    5.50    5.119460   5.1195   2.8339   4.3078   4.4952   0.4787   0.0000
    5.50    5.267600   5.2676   2.8741   4.3141   4.4926   0.4787   0.0000
    5.50    5.420020   5.4200   2.9143   4.3204   4.4899   0.4787   0.0000
    5.50    5.576860   5.5769   2.9544   4.3267   4.4873   0.4787   0.0000
    5.50    5.738240   5.7382   2.9947   4.3330   4.4847   0.4787   0.0000
    5.50    5.904280   5.9043   3.0348   4.3393   4.4821   0.4787   0.0000
    5.50    6.075000   6.0750   3.0751   4.3456   4.4795   0.4787   0.0000
    5.50    6.250720   6.2508   3.1153   4.3519   4.4769   0.4787   0.0000
    5.50    6.431530   6.4315   3.1555   4.3581   4.4742   0.4787   0.0000
    5.50    6.617790   6.6178   3.1957   4.3645   4.4716   0.4787   0.0000
    5.50    6.809200   6.8092   3.2359   4.3707   4.4689   0.4787   0.0000
    5.50    7.006790   7.0068   3.2761   4.3770   4.4662   0.4787   0.0000
    5.50    7.214640   7.2146   3.3163   4.3830   4.4626   0.4787   0.0000
    5.50    7.429070   7.4291   3.3566   4.3890   4.4590   0.4787   0.0000
    5.50    7.649160   7.6492   3.3967   4.3949   4.4553   0.4787   0.0000
    5.50    7.875910   7.8759   3.4369   4.4009   4.4516   0.4787   0.0000
    5.50    8.109500   8.1095   3.4771   4.4069   4.4479   0.4787   0.0000
    5.50    8.349730   8.3497   3.5173   4.4128   4.4443   0.4787   0.0000
    5.50    8.597330   8.5973   3.5575   4.4187   4.4406   0.4787   0.0000
    5.50    8.851960   8.8520   3.5977   4.4247   4.4369   0.4787   0.0000
    5.50    9.119700   9.1197   3.6379   4.4307   4.4334   0.4787   0.0000
    5.50    9.402780   9.4028   3.6781   4.4366   4.4302   0.4787   0.0000
    5.50    9.694920   9.6948   3.7183   4.4425   4.4269   0.4787   0.0000
    5.50    9.996220   9.9961   3.7585   4.4484   4.4236   0.4787   0.0000
    5.50   10.306600  10.3065   3.7987   4.4544   4.4204   0.4787   0.0000
    5.50   10.626500  10.6262   3.8389   4.4602   4.4171   0.4787   0.0000
    5.50   10.956500  10.9562   3.8791   4.4661   4.4138   0.4787   0.0000
    5.50   11.296900  11.2965   3.9193   4.4721   4.4105   0.4787   0.0000
    5.50   11.647500  11.6471   3.9595   4.4780   4.4072   0.4787   0.0000
    5.50   12.009900  12.0095   3.9997   4.4839   4.4039   0.4787   0.0000
    5.50   12.402100  12.4016   4.0399   4.4897   4.4009   0.4787   0.0000
    5.50   12.807200  12.8066   4.0800   4.4955   4.3979   0.4787   0.0000
    5.50   13.225200  13.2245   4.1203   4.5013   4.3949   0.4787   0.0000
