#
# log(age)    Mini       Mact  logl  logt  logg  C/O  Phase
    6.60    0.1500000060  0.1500  -2.4163   3.5528   5.1875   0.4787   0.0000
    6.60    0.2000000030  0.2000  -2.1224   3.5791   5.1237   0.4787   0.0000
    6.60    0.2500000000  0.2500  -1.9306   3.5914   5.0780   0.4787   0.0000
    6.60    0.3000000119  0.3000  -1.7785   3.6012   5.0445   0.4787   0.0000
    6.60    0.3499999940  0.3500  -1.6528   3.6091   5.0172   0.4787   0.0000
    6.60    0.4000000060  0.4000  -1.5079   3.6149   4.9534   0.4787   0.0000
    6.60    0.4499999881  0.4500  -1.3934   3.6224   4.9201   0.4787   0.0000
    6.60    0.5000000000  0.5000  -1.2637   3.6316   4.8730   0.4787   0.0000
    6.60    0.5500000119  0.5500  -1.1233   3.6430   4.8195   0.4787   0.0000
    6.60    0.6000000238  0.6000  -0.9838   3.6557   4.7688   0.4787   0.0000
    6.60    0.6999999881  0.7000  -0.6912   3.6931   4.6926   0.4787   0.0000
    6.60    0.8707218170  0.8707  -0.2491   3.7581   4.6053   0.4787   0.0000
    6.60    1.0414437056  1.0414   0.1228   3.8046   4.4974   0.4787   0.0000
    6.60    1.1414437294  1.1414   0.3112   3.8294   4.4478   0.4787   0.0000
    6.60    1.2414436340  1.2414   0.4864   3.8585   4.4254   0.4787   0.0000
    6.60    1.3414436579  1.3414   0.6412   3.8878   4.4215   0.4787   0.0000
    6.60    1.4414436817  1.4414   0.7798   3.9151   4.4235   0.4787   0.0000
    6.60    1.5414437056  1.5414   0.9076   3.9431   4.4366   0.4787   0.0000
    6.60    1.7292782068  1.7293   1.1204   3.9891   4.4579   0.4787   0.0000
    6.60    1.8292781115  1.8293   1.2198   4.0092   4.4634   0.4787   0.0000
    6.60    1.9292781353  1.9293   1.3090   4.0273   4.4697   0.4787   0.0000
    6.60    2.2000000477  2.2000   1.5261   4.0693   4.4773   0.4787   0.0000
    6.60    2.5000000000  2.5000   1.7308   4.1066   4.4774   0.4787   0.0000
    6.60    2.8597416878  2.8597   1.9403   4.1423   4.4692   0.4787   0.0000
    6.60    3.0000000000  3.0000   2.0151   4.1551   4.4662   0.4787   0.0000
    6.60    3.5000000000  3.5000   2.2486   4.1937   4.4545   0.4787   0.0000
    6.60    4.0000000000  4.0000   2.4472   4.2261   4.4430   0.4787   0.0000
    6.60    4.5000000000  4.5000   2.6192   4.2535   4.4319   0.4787   0.0000
    6.60    5.0000000000  5.0000   2.7694   4.2779   4.4253   0.4787   0.0000
    6.60    6.0000000000  6.0000   3.0352   4.3183   4.4002   0.4787   0.0000
    6.60    7.0000000000  7.0000   3.2586   4.3519   4.3781   0.4787   0.0000
    6.60    9.0000000000  9.0000   3.6218   4.4022   4.3253   0.4787   0.0000
    6.60   10.1974163055 10.1974   3.7986   4.4260   4.2980   0.4787   0.0000
    6.60   12.0000000000 12.0000   4.0350   4.4585   4.2621   0.4787   0.0000
    6.60   15.0000000000 14.9696   4.3505   4.4993   4.2058   0.4787   0.0000
    6.60   18.0756053925 18.0240   4.6016   4.5289   4.1537   0.4787   0.0000
    6.60   20.0000000000 19.9312   4.7430   4.5432   4.1132   0.4787   0.0000
    6.60   24.8996315002 24.6887   5.0120   4.5655   4.0265   0.4787   0.0000
