# log(age)    Mini       Mact  logl  logt  logg  Composition  Phase
    5.50    0.08000000   0.0800  -3.6100   3.3644   5.3500   0.4787   0.0000
    5.50    0.09000000   0.0900  -3.2700   3.4219   5.2920   0.4787   0.0000
    5.50    0.10000000   0.1000  -3.0700   3.4492   5.2510   0.4787   0.0000
    5.50    0.11000000   0.1100  -2.9300   3.4655   5.2180   0.4787   0.0000
    5.50    0.13000000   0.1300  -2.7300   3.4852   5.1690   0.4787   0.0000
    5.50    0.15000001   0.1500  -2.3214   3.5849   5.2213   0.4787   0.0000
    5.50    0.20000000   0.2000  -2.0312   3.6088   5.1513   0.4787   0.0000
    5.50    0.25000000   0.2500  -1.8290   3.6208   5.0943   0.4787   0.0000
    5.50    0.30000001   0.3000  -1.6861   3.6295   5.0652   0.4787   0.0000
    5.50    0.34999999   0.3500  -1.5637   3.6369   5.0394   0.4787   0.0000
    5.50    0.40000001   0.4000  -1.4331   3.6440   4.9950   0.4787   0.0000
    5.50    0.44999999   0.4500  -1.3007   3.6525   4.9478   0.4787   0.0000
    5.50    0.50000000   0.5000  -1.1678   3.6625   4.9009   0.4787   0.0000
    5.50    0.55000001   0.5500  -1.0171   3.6777   4.8521   0.4787   0.0000
    5.50    0.60000002   0.6000  -0.8609   3.6970   4.8112   0.4787   0.0000
    5.50    0.75574929   0.7557  -0.4035   3.7600   4.7060   0.4787   0.0000
    5.50    0.85574931   0.8557  -0.1452   3.7948   4.6409   0.4787   0.0000
    5.50    1.00000000   1.0000   0.1772   3.8370   4.5547   0.4787   0.0000
    5.50    1.10000002   1.1000   0.3700   3.8668   4.5225   0.4787   0.0000
    5.50    1.20000005   1.2000   0.5427   3.9037   4.5351   0.4787   0.0000
    5.50    1.29999995   1.3000   0.6984   3.9393   4.5565   0.4787   0.0000
    5.50    1.39999998   1.4000   0.8370   3.9705   4.5754   0.4787   0.0000
    5.50    1.50000000   1.5000   0.9654   3.9993   4.5919   0.4787   0.0000
    5.50    1.60000002   1.6000   1.0814   4.0250   4.6066   0.4787   0.0000
    5.50    1.62212539   1.6221   1.1075   4.0300   4.6065   0.4787   0.0000
    5.50    1.70000005   1.7000   1.1889   4.0487   4.6203   0.4787   0.0000
    5.50    1.75000000   1.7500   1.2402   4.0593   4.6243   0.4787   0.0000
    5.50    1.79999995   1.8000   1.2865   4.0699   4.6323   0.4787   0.0000
    5.50    1.89999998   1.9000   1.3793   4.0893   4.6408   0.4787   0.0000
    5.50    2.00720000   2.0072   1.4342   4.1026   4.6678   0.0000   0.0000
    5.50    2.05739999   2.0574   1.4744   4.1098   4.6665   0.0000   0.0000
    5.50    2.10899997   2.1090   1.5146   4.1168   4.6653   0.0000   0.0000
    5.50    2.16179991   2.1618   1.5548   4.1238   4.6640   0.0000   0.0000
    5.50    2.21609998   2.2161   1.5950   4.1308   4.6627   0.0000   0.0000
    5.50    2.27150011   2.2715   1.6352   4.1378   4.6615   0.0000   0.0000
    5.50    2.32850003   2.3285   1.6754   4.1450   4.6602   0.0000   0.0000
    5.50    2.38689995   2.3869   1.7155   4.1520   4.6589   0.0000   0.0000
    5.50    2.44630003   2.4463   1.7557   4.1591   4.6581   0.0000   0.0000
    5.50    2.50920010   2.5092   1.7958   4.1668   4.6600   0.0000   0.0000
    5.50    2.57550001   2.5755   1.8361   4.1751   4.6636   0.0000   0.0000
    5.50    2.64339995   2.6434   1.8764   4.1832   4.6672   0.0000   0.0000
    5.50    2.71289992   2.7129   1.9166   4.1913   4.6709   0.0000   0.0000
