# log(age)    Mini       Mact  logl  logt  logg  Composition  Phase
    5.50    0.080000   0.0800  -3.6100   3.3644   5.3500   0.4787   0.0000
    5.50    0.090000   0.0900  -3.2700   3.4219   5.2920   0.4787   0.0000
    5.50    0.100000   0.1000  -3.0700   3.4492   5.2510   0.4787   0.0000
    5.50    0.110000   0.1100  -2.9300   3.4655   5.2180   0.4787   0.0000
    5.50    0.130000   0.1300  -2.7300   3.4852   5.1690   0.4787   0.0000
    5.50    0.150000   0.1500  -2.3036   3.5907   5.2265   0.4787   0.0000
    5.50    0.200000   0.2000  -2.0080   3.6158   5.1562   0.4787   0.0000
    5.50    0.250000   0.2500  -1.7958   3.6285   5.0917   0.4787   0.0000
    5.50    0.300000   0.3000  -1.6574   3.6372   5.0673   0.4787   0.0000
    5.50    0.350000   0.3500  -1.5359   3.6446   5.0424   0.4787   0.0000
    5.50    0.400000   0.4000  -1.4187   3.6513   5.0100   0.4787   0.0000
    5.50    0.450000   0.4500  -1.2816   3.6596   4.9572   0.4787   0.0000
    5.50    0.500000   0.5000  -1.1516   3.6693   4.9117   0.4787   0.0000
    5.50    0.550000   0.5500  -1.0015   3.6842   4.8626   0.4787   0.0000
    5.50    0.600000   0.6000  -0.8341   3.7095   4.8343   0.4787   0.0000
    5.50    0.700000   0.7000  -0.5341   3.7480   4.7551   0.4787   0.0000
    5.50    0.800000   0.8000  -0.2584   3.7843   4.6826   0.4787   0.0000
    5.50    0.900000   0.9000  -0.0143   3.8158   4.6159   0.4787   0.0000
    5.50    1.000000   1.0000   0.2014   3.8464   4.5682   0.4787   0.0000
    5.50    1.150000   1.1500   0.4751   3.8995   4.5677   0.4787   0.0000
    5.50    1.250000   1.2500   0.6391   3.9361   4.5862   0.4787   0.0000
    5.50    1.400000   1.4000   0.8545   3.9846   4.6142   0.4787   0.0000
    5.50    1.500000   1.5000   0.9795   4.0128   4.6316   0.4787   0.0000
    5.50    1.600000   1.6000   1.0963   4.0385   4.6458   0.4787   0.0000
    5.50    1.725000   1.7250   1.2292   4.0680   4.6634   0.4787   0.0000
    5.50    1.760000   1.7600   1.2647   4.0756   4.6672   0.4787   0.0000
    5.50    1.800000   1.8000   1.3039   4.0838   4.6705   0.4787   0.0000
    5.50    1.900000   1.9000   1.3974   4.1034   4.6788   0.4787   0.0000
    5.50    2.006700   2.0067   1.4721   4.1359   4.7626   0.4787   0.0000
    5.50    2.056920   2.0569   1.5123   4.1425   4.7600   0.4787   0.0000
    5.50    2.108220   2.1082   1.5525   4.1491   4.7572   0.4787   0.0000
    5.50    2.161150   2.1611   1.5927   4.1558   4.7544   0.4787   0.0000
    5.50    2.214910   2.2149   1.6329   4.1624   4.7517   0.4787   0.0000
    5.50    2.270520   2.2705   1.6731   4.1692   4.7489   0.4787   0.0000
    5.50    2.327180   2.3272   1.7132   4.1758   4.7461   0.4787   0.0000
    5.50    2.384300   2.3843   1.7534   4.1828   4.7446   0.4787   0.0000
    5.50    2.445710   2.4457   1.7935   4.1908   4.7475   0.4787   0.0000
    5.50    2.511510   2.5115   1.8338   4.1996   4.7531   0.4787   0.0000
    5.50    2.579030   2.5790   1.8742   4.2080   4.7587   0.4787   0.0000
    5.50    2.647900   2.6479   1.9144   4.2167   4.7644   0.4787   0.0000
    5.50    2.719120   2.7191   1.9546   4.2251   4.7700   0.4787   0.0000
    5.50    2.792140   2.7921   1.9948   4.2339   4.7756   0.4787   0.0000
    5.50    2.865530   2.8655   2.0348   4.2430   4.7837   0.4787   0.0000
    5.50    2.942380   2.9424   2.0750   4.2508   4.7860   0.4787   0.0000
    5.50    3.023580   3.0236   2.1152   4.2571   4.7827   0.4787   0.0000
    5.50    3.107320   3.1073   2.1554   4.2632   4.7794   0.4787   0.0000
    5.50    3.192700   3.1927   2.1953   4.2694   4.7758   0.4787   0.0000
    5.50    3.281170   3.2812   2.2354   4.2757   4.7725   0.4787   0.0000
    5.50    3.372040   3.3720   2.2756   4.2818   4.7689   0.4787   0.0000
    5.50    3.465070   3.4651   2.3156   4.2881   4.7656   0.4787   0.0000
    5.50    3.560730   3.5607   2.3558   4.2944   4.7621   0.4787   0.0000
    5.50    3.659190   3.6592   2.3960   4.3006   4.7587   0.4787   0.0000
    5.50    3.759950   3.7599   2.4360   4.3067   4.7552   0.4787   0.0000
    5.50    3.860810   3.8608   2.4760   4.3130   4.7514   0.4787   0.0000
    5.50    3.969400   3.9694   2.5164   4.3187   4.7459   0.4787   0.0000
    5.50    4.082710   4.0827   2.5566   4.3240   4.7398   0.4787   0.0000
    5.50    4.199210   4.1992   2.5965   4.3297   4.7336   0.4787   0.0000
    5.50    4.319560   4.3196   2.6370   4.3350   4.7278   0.4787   0.0000
    5.50    4.443210   4.4434   2.6772   4.3406   4.7217   0.4787   0.0000
    5.50    4.569600   4.5696   2.7171   4.3459   4.7156   0.4787   0.0000
    5.50    4.700820   4.7008   2.7573   4.3515   4.7097   0.4787   0.0000
    5.50    4.832980   4.8330   2.7975   4.3572   4.7037   0.4787   0.0000
    5.50    4.974350   4.9743   2.8379   4.3629   4.6992   0.4787   0.0000
    5.50    5.126390   5.1264   2.8779   4.3687   4.6956   0.4787   0.0000
    5.50    5.283400   5.2834   2.9181   4.3747   4.6919   0.4787   0.0000
    5.50    5.444360   5.4444   2.9583   4.3804   4.6882   0.4787   0.0000
    5.50    5.611040   5.6110   2.9985   4.3863   4.6845   0.4787   0.0000
    5.50    5.782850   5.7828   3.0387   4.3922   4.6806   0.4787   0.0000
    5.50    5.960330   5.9603   3.0793   4.3980   4.6770   0.4787   0.0000
    5.50    6.142260   6.1423   3.1195   4.4037   4.6733   0.4787   0.0000
    5.50    6.330280   6.3303   3.1597   4.4098   4.6696   0.4787   0.0000
    5.50    6.522930   6.5229   3.1995   4.4156   4.6659   0.4787   0.0000
    5.50    6.721980   6.7220   3.2397   4.4215   4.6623   0.4787   0.0000
    5.50    6.926380   6.9264   3.2802   4.4275   4.6595   0.4787   0.0000
    5.50    7.144520   7.1445   3.3204   4.4341   4.6588   0.4787   0.0000
    5.50    7.368430   7.3684   3.3606   4.4407   4.6580   0.4787   0.0000
    5.50    7.597040   7.5970   3.4005   4.4471   4.6568   0.4787   0.0000
    5.50    7.832780   7.8328   3.4406   4.4534   4.6555   0.4787   0.0000
    5.50    8.076120   8.0761   3.4810   4.4597   4.6542   0.4787   0.0000
    5.50    8.327110   8.3271   3.5212   4.4662   4.6530   0.4787   0.0000
    5.50    8.585620   8.5856   3.5610   4.4725   4.6517   0.4787   0.0000
    5.50    8.852750   8.8525   3.6013   4.4791   4.6502   0.4787   0.0000
    5.50    9.127960   9.1277   3.6415   4.4846   4.6459   0.4787   0.0000
    5.50    9.414760   9.4149   3.6817   4.4898   4.6400   0.4787   0.0000
    5.50    9.710590   9.7105   3.7218   4.4950   4.6342   0.4787   0.0000
    5.50   10.016800  10.0168   3.7620   4.5001   4.6281   0.4787   0.0000
    5.50   10.332500  10.3325   3.8023   4.5054   4.6220   0.4787   0.0000
    5.50   10.657400  10.6576   3.8425   4.5105   4.6162   0.4787   0.0000
    5.50   10.991600  10.9915   3.8827   4.5157   4.6101   0.4787   0.0000
    5.50   11.337500  11.3376   3.9229   4.5209   4.6040   0.4787   0.0000
    5.50   11.693900  11.6941   3.9631   4.5262   4.5979   0.4787   0.0000
    5.50   12.063800  12.0639   4.0036   4.5314   4.5920   0.4787   0.0000
    5.50   12.455900  12.4559   4.0437   4.5365   4.5866   0.4787   0.0000
    5.50   12.862300  12.8621   4.0837   4.5418   4.5814   0.4787   0.0000
    5.50   13.281900  13.2818   4.1239   4.5470   4.5760   0.4787   0.0000
    5.50   13.715200  13.7151   4.1644   4.5523   4.5708   0.4787   0.0000
    5.50   14.162800  14.1626   4.2047   4.5575   4.5655   0.4787   0.0000
