# color,  Teff for all metallicities
5.60 2517.57  2515.77  2514.34  2513.13  2512.08  2510.26  2508.72  2507.35  2504.96  2502.90  2500.61  2498.16  2495.24  2491.94  2488.35  2483.96  2479.13  2473.40  2466.60  2457.83  2447.01  2433.85
4.88 2637.74  2643.70  2648.42  2652.41  2655.90  2661.90  2667.03  2671.56  2679.45  2686.28  2693.85  2701.95  2711.64  2722.54  2734.43  2748.96  2764.95  2783.89  2805.90  2832.06  2863.23  2899.58
4.28 2737.88  2750.31  2760.16  2768.47  2775.75  2788.27  2798.96  2808.35  2824.57  2838.49  2853.78  2870.00  2889.20  2910.53  2933.51  2961.17  2991.07  3019.07  3043.39  3067.09  3088.67  3107.76
3.79 2819.92  2837.74  2851.75  2863.52  2873.80  2891.34  2906.23  2919.32  2941.92  2961.33  2982.64  3007.60  3041.37  3071.44  3097.49  3122.60  3144.24  3164.30  3182.73  3200.54  3213.16  3224.17
3.45 2877.42  2898.73  2915.49  2929.58  2941.86  2962.85  2980.65  2996.31  3046.74  3083.35  3115.55  3143.13  3169.41  3192.81  3210.70  3226.35  3239.54  3251.52  3262.32  3272.67  3281.95  3290.04
3.10 2936.60  2961.52  2981.11  2997.57  3040.86  3105.54  3146.54  3175.47  3213.29  3236.00  3255.04  3270.71  3285.12  3297.53  3308.00  3317.83  3326.11  3333.64  3340.43  3346.93  3354.20  3361.96
2.76 2994.10  3123.55  3199.46  3251.81  3281.77  3315.41  3334.31  3346.68  3367.66  3381.85  3393.95  3404.04  3413.42  3421.60  3428.55  3435.13  3440.72  3445.83  3450.46  3454.93  3458.94  3462.46
2.40 3678.80  3670.28  3664.26  3659.59  3655.78  3649.69  3643.83  3639.71  3634.19  3630.56  3627.37  3624.65  3622.07  3619.78  3617.80  3615.90  3614.26  3612.74  3611.36  3610.00  3608.77  3607.69
1.96 4044.57  4035.56  4029.19  4024.25  4020.23  4013.88  4008.97  4004.96  3998.64  3993.75  3988.87  3984.17  3979.16  3974.18  3969.42  3964.35  3959.57  3954.74  3949.91  3944.80  3939.76  3934.96
