# color,  Teff for all metallicities
5.60 2508.72  2483.17  2455.66  2433.85  2410.60
4.88 2667.03  2751.57  2838.40  2899.58  2959.92
4.28 2798.96  2966.08  3071.98  3107.76  3130.44
3.79 2906.23  3126.49  3203.41  3224.17  3237.06
3.45 2980.65  3228.74  3274.79  3290.04  3299.50
3.10 3146.54  3319.33  3348.26  3361.96  3371.09
2.76 3334.31  3436.14  3455.84  3462.46  3466.60
2.40 3643.83  3615.60  3609.73  3607.69  3606.40
1.96 4008.97  3963.52  3943.70  3934.96  3928.77
