   3601.8 1.36418E-09 6.99749E-09 1.37431E-08 5.07645E-08 2.05697E-07 2.43476E-07 6.79937E-07 9.97273E-07 2.22441E-06
   3602.7 1.37624E-09 7.05935E-09 1.38646E-08 5.12133E-08 2.07515E-07 2.45628E-07 6.85948E-07 1.00609E-06 2.24407E-06
   3603.6 1.38830E-09 7.12123E-09 1.39862E-08 5.16621E-08 2.09334E-07 2.47781E-07 6.91960E-07 1.01491E-06 2.26374E-06
   3604.5 1.40036E-09 7.18308E-09 1.41076E-08 5.21109E-08 2.11152E-07 2.49933E-07 6.97970E-07 1.02372E-06 2.28340E-06
   3605.4 1.41242E-09 7.24494E-09 1.42291E-08 5.25596E-08 2.12971E-07 2.52085E-07 7.03981E-07 1.03254E-06 2.30307E-06
   3606.3 1.42448E-09 7.30681E-09 1.43507E-08 5.30085E-08 2.14790E-07 2.54238E-07 7.09993E-07 1.04136E-06 2.32274E-06
   3607.2 1.43654E-09 7.36867E-09 1.44721E-08 5.34573E-08 2.16608E-07 2.56391E-07 7.16004E-07 1.05017E-06 2.34240E-06
   3608.1 1.44860E-09 7.43055E-09 1.45937E-08 5.39062E-08 2.18427E-07 2.58544E-07 7.22016E-07 1.05899E-06 2.36207E-06
   3609.0 1.46066E-09 7.49239E-09 1.47151E-08 5.43548E-08 2.20245E-07 2.60695E-07 7.28025E-07 1.06780E-06 2.38173E-06
   3609.9 1.47272E-09 7.55426E-09 1.48366E-08 5.48037E-08 2.22063E-07 2.62848E-07 7.34037E-07 1.07662E-06 2.40140E-06
   3610.8 1.48478E-09 7.61614E-09 1.49582E-08 5.52525E-08 2.23882E-07 2.65001E-07 7.40050E-07 1.08544E-06 2.42107E-06
   3611.7 1.49684E-09 7.67798E-09 1.50796E-08 5.57012E-08 2.25700E-07 2.67153E-07 7.46059E-07 1.09425E-06 2.44072E-06
   3612.6 1.50890E-09 7.73985E-09 1.52011E-08 5.61500E-08 2.27519E-07 2.69306E-07 7.52071E-07 1.10307E-06 2.46039E-06
   3613.5 1.52096E-09 7.80171E-09 1.53226E-08 5.65988E-08 2.29337E-07 2.71458E-07 7.58081E-07 1.11189E-06 2.48006E-06
   3614.4 1.53302E-09 7.86357E-09 1.54441E-08 5.70476E-08 2.31156E-07 2.73610E-07 7.64092E-07 1.12070E-06 2.49972E-06
   3615.3 1.54508E-09 7.92544E-09 1.55656E-08 5.74964E-08 2.32975E-07 2.75763E-07 7.70104E-07 1.12952E-06 2.51939E-06
   3616.2 1.55714E-09 7.98730E-09 1.56871E-08 5.79452E-08 2.34793E-07 2.77916E-07 7.76115E-07 1.13834E-06 2.53905E-06
   3617.1 1.56920E-09 8.04917E-09 1.58086E-08 5.83941E-08 2.36612E-07 2.80068E-07 7.82127E-07 1.14716E-06 2.55872E-06
   3618.0 1.58126E-09 8.11103E-09 1.59301E-08 5.88428E-08 2.38430E-07 2.82221E-07 7.88138E-07 1.15597E-06 2.57839E-06
   3618.9 1.59332E-09 8.17289E-09 1.60516E-08 5.92916E-08 2.40248E-07 2.84373E-07 7.94148E-07 1.16479E-06 2.59805E-06
   3619.8 1.60538E-09 8.23476E-09 1.61731E-08 5.97405E-08 2.42067E-07 2.86526E-07 8.00160E-07 1.17361E-06 2.61772E-06
   3620.7 1.61744E-09 8.29662E-09 1.62946E-08 6.01892E-08 2.43886E-07 2.88678E-07 8.06171E-07 1.18242E-06 2.63738E-06
   3621.6 1.62951E-09 8.35849E-09 1.64162E-08 6.06381E-08 2.45704E-07 2.90831E-07 8.12183E-07 1.19124E-06 2.65705E-06
   3622.5 1.64156E-09 8.42035E-09 1.65376E-08 6.10868E-08 2.47523E-07 2.92983E-07 8.18194E-07 1.20006E-06 2.67672E-06
   3623.4 1.65362E-09 8.48221E-09 1.66591E-08 6.15356E-08 2.49341E-07 2.95136E-07 8.24205E-07 1.20887E-06 2.69638E-06
   3624.3 1.66569E-09 8.54408E-09 1.67807E-08 6.19845E-08 2.51160E-07 2.97289E-07 8.30217E-07 1.21769E-06 2.71605E-06
   3625.2 1.67775E-09 8.60594E-09 1.69021E-08 6.24332E-08 2.52978E-07 2.99441E-07 8.36227E-07 1.22651E-06 2.73571E-06
   3626.1 1.68981E-09 8.66781E-09 1.70237E-08 6.28821E-08 2.54797E-07 3.01594E-07 8.42240E-07 1.23532E-06 2.75538E-06
   3627.0 1.70187E-09 8.72967E-09 1.71452E-08 6.33309E-08 2.56615E-07 3.03746E-07 8.48250E-07 1.24414E-06 2.77504E-06
   3627.9 1.71392E-09 8.79151E-09 1.72666E-08 6.37795E-08 2.58433E-07 3.05898E-07 8.54259E-07 1.25295E-06 2.79470E-06
   3628.8 1.72599E-09 8.85339E-09 1.73881E-08 6.42284E-08 2.60252E-07 3.08051E-07 8.60271E-07 1.26177E-06 2.81437E-06
   3629.7 1.73805E-09 8.91524E-09 1.75096E-08 6.46771E-08 2.62071E-07 3.10203E-07 8.66282E-07 1.27059E-06 2.83404E-06
   3630.6 1.75011E-09 8.97712E-09 1.76311E-08 6.51260E-08 2.63889E-07 3.12356E-07 8.72294E-07 1.27941E-06 2.85370E-06
   3631.5 1.76217E-09 9.03899E-09 1.77527E-08 6.55749E-08 2.65708E-07 3.14509E-07 8.78306E-07 1.28822E-06 2.87337E-06
   3632.4 1.77423E-09 9.10083E-09 1.78741E-08 6.60235E-08 2.67526E-07 3.16661E-07 8.84315E-07 1.29704E-06 2.89303E-06
